Phenotype [application],Phenotype [development],Category [application],Category [development],Author,Year,Title,n CpGs [application],n CpGs [development],Based on,Sample size [application],Sample size [development],n Cases [application],n Cases [development],n Controls [application],n Controls [development],Sample type [application],Sample type [development],Developmental period [application],Developmental period [development],Tissue [application],Tissue [development],Array [application],Array [development],Ancestry [application],Ancestry [development],Dimension reduction (1) [application],Dimension reduction (1) [development],Dimension reduction (2) [application],Dimension reduction (2) [development],Dimension reduction (3) [application],Dimension reduction (3) [development],Dimension reduction (4) [application],Dimension reduction (4) [development],Dimension reduction (5) [application],Dimension reduction (5) [development],Weights estimation [application],Weights estimation [development],Internal validation [application],Internal validation [development],External validation [application],External validation [development],Performance [application],Performance [development],Comparison [application],Comparison [development],Missing_value_note [application],Missing_value_note [development],Covariates [application],Covariates [development],Sample_overlap_target_base [application],Sample_overlap_target_base [development]
Prenatal alcohol exposure,Prenatal alcohol exposure,Lifestyle and environment,Lifestyle and environment,Abrishamcar et al.,2022.0,DNA methylation as a potential mediator of the association between prenatal tobacco and alcohol exposure and child neurodevelopment in a South African birth cohort,,,Published summary statistics (semi-supervised),262.0,,,,,,Population-based,,Birth,Birth,Cord blood,Cord blood,"Multiple (450K, EPICv1)",450K,African,European,Association DNAm phenotype | Multiple p-values | thresholding,,Pruning | CoMeBack,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Reported | Explained variance | R = 0.0006,,No,,Not reported,,"maternal age, maternal HIV status, maternal depression during pregnancy, maternal psychological distress during pregnancy, parental socioeconomic status (SES), gestational age, and cell-type proportions. Population stratification was adjusted for using the first five genetic principal components. the primary exposure were additionally adjusted for PAE and likewise, models evaluating PAE as the primary exposure were additionally adjusted for PTE. ","maternal age, maternal education, maternal smoking status, technica covariates, cord blood reference panel",No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Abrishamcar et al.,2022.0,DNA methylation as a potential mediator of the association between prenatal tobacco and alcohol exposure and child neurodevelopment in a South African birth cohort,,,Published summary statistics (semi-supervised),262.0,,,,,,Population-based,,Birth,Birth,Cord blood,"Multiple (Cord blood, Whole blood)","Multiple (450K, EPICv1)",450K,African,Mixed,Association DNAm phenotype | Multiple p-values | thresholding,,Pruning | CoMeBack,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Reported | Explained variance | R2 = 0.23,,No,,Not reported,,"maternal age, maternal HIV status, maternal depression during pregnancy, maternal psychological distress during pregnancy, parental socioeconomic status (SES), gestational age, and cell-type proportions. Population stratification was adjusted for using the first five genetic principal components. the primary exposure were additionally adjusted for PAE and likewise, models evaluating PAE as the primary exposure were additionally adjusted for PTE. ","age (continuous), sex and cell-type proportion, batch effects",No,
C-reactive protein,C-reactive protein,Biological markers,Biological markers,Barker et al.,2018.0,Inflammation-related epigenetic risk and child and adolescent mental health: A prospective study from pregnancy to middle adolescence,7.0,8.0,Pre-established MPS,785.0,12974.0,,,,,Population-based,Cohort,Adolescence,Adulthood,Peripheral blood,Whole blood,450K,450K,European,Mixed,Association DNAm phenotype | P-value | ?,Association DNAm phenotype | P-value | top-ranking ?,Pruning | Pairwise correlation | ?,Pruning | R-squared | 0.1,,,,,,,Discovery EWAS | Linear regression,Discovery EWAS | Linear mixed model,No,No,No,No,"Reported | Correlation |  age 15 r = -0.111, p < 0.002 and age 17 r = -0.181, p < 0.0001",Reported | Explained variance = 2.3-5.8,No,No,Not reported,Not reported,Not reported,"age, sex, white blood cell proportions, technical covariates (array number and position on array), smoking (current, former and never), and BMI.",No,
C-reactive protein,C-reactive protein,Biological markers,Biological markers,Barker et al.,2018.0,Inflammation-related epigenetic risk and child and adolescent mental health: A prospective study from pregnancy to middle adolescence,7.0,8.0,Pre-established MPS,785.0,12974.0,,,,,Population-based,Cohort,Birth,Adulthood,Cord blood,Whole blood,450K,450K,European,Mixed,Association DNAm phenotype | P-value | ?,Association DNAm phenotype | P-value | top-ranking ?,Pruning | Pairwise correlation | ?,Pruning | R-squared | 0.1,,,,,,,Discovery EWAS | Linear regression,Discovery EWAS | Linear mixed model,No,No,No,No,Not reported,Reported | Explained variance = 2.3-5.8,No,No,Not reported,Not reported,Not reported,"age, sex, white blood cell proportions, technical covariates (array number and position on array), smoking (current, former and never), and BMI.",No,
C-reactive protein,C-reactive protein,Biological markers,Biological markers,Barker et al.,2018.0,Inflammation-related epigenetic risk and child and adolescent mental health: A prospective study from pregnancy to middle adolescence,7.0,8.0,Pre-established MPS,785.0,12974.0,,,,,Population-based,Cohort,Mid childhood,Adulthood,Peripheral blood,Whole blood,450K,450K,European,Mixed,Association DNAm phenotype | P-value | ?,Association DNAm phenotype | P-value | top-ranking ?,Pruning | Pairwise correlation | ?,Pruning | R-squared | 0.1,,,,,,,Discovery EWAS | Linear regression,Discovery EWAS | Linear mixed model,No,No,No,No,Not reported,Reported | Explained variance = 2.3-5.8,No,No,Not reported,Not reported,Not reported,"age, sex, white blood cell proportions, technical covariates (array number and position on array), smoking (current, former and never), and BMI.",No,
Alcohol consumption,Alcohol consumption,Lifestyle and environment,Lifestyle and environment,Bernabeu et al.,2025.0,Blood-based epigenome-wide association study and prediction of alcohol consumption,659.0,,Published summary statistics (semi-supervised),2152.0,,,,,,Population-based,,Adolescence,Adulthood,Peripheral blood,Whole blood,"Multiple (450K, EPICv1)","Multiple (450K, EPICv1)",European,"Multiple (Mixed, Australian, European)",Association DNAm phenotype | P-value | ?,,,,,,,,,,Penalized regression | Elastic net,,Train/test split: 80/20%,,Yes,,"Reported | Correlation, explained variance | 0.11",,No,,Weighted means,,age and seks,"Multiple (age, sex, body mass index, technical covariates and white blood cell counts; ge (continuous), sex, smoking status (never; former, ≥15 years ago, former, <15 years ago; current, <20 cigarettes per day; current, ≥20 cigarettes per day), body mass index (BMI) (≤25, >25 to ≤30, and >30 kg/m2), country of birth (Australia/New Zealand, Italy, Greece, UK), sample type (peripheral blood mononuclear cells, dried blood spots, buffy coats), and white blood cell composition (percentage of CD4+ T cells, CD8+ T cells, B cells, NK cells, monocytes, and granulocytes, estimated using the Houseman algorithm27), and random effects for study, plate, and chip, sex, age, ethnicity, body mass index (BMI), level of education, alcohol and tobacco consumption (except when they were the variable of interest), slide, cell type, and surrogate variables.)",No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,6073.0,,Published summary statistics (semi-supervised),747.0,,143.0,,604.0,,Population-based,,Adolescence,Birth,Saliva,Cord blood,450K,450K,Mixed,Mixed,Association DNAm phenotype | P-value | ?,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Reported | AUC = 0.76,,Yes,,Overlapping,,"city indicator, child sex, maternal income-to-poverty ratio at baseline, proportion of salivary immune cells, sample plate from DNA methylation analysis, child age, and the first two principal components of genetic ancestry","maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate",No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,6073.0,,Published summary statistics (semi-supervised),753.0,,155.0,,598.0,,Population-based,,Mid childhood,Birth,Saliva,Cord blood,450K,450K,Mixed,Mixed,Association DNAm phenotype | P-value | ?,,,,,,,,,,Discovery EWAS | Linear regression,,No,,No,,Reported | AUC = 0.77,,Yes,,Overlapping,,"city indicator, child sex, maternal income-to-poverty ratio at baseline, proportion of salivary immune cells, sample plate from DNA methylation analysis, child age, and the first two principal components of genetic ancestry","maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate",No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,204.0,204.0,Pre-established MPS,747.0,995.0,143.0,296.0,604.0,699.0,Population-based,Population-based,Adolescence,Adolescence,Saliva,Peripheral blood,450K,450K,Mixed,European,,Association DNAm phenotype | P-value | p < 1e-5,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 517),Reported | AUC = 0.68,"Reported | Sensitivity/Specifity/Cohen’s κ/Accuracy/AUC/Brierscore | sensitivity/specicity 91% and 76% internal, 87% and 75% external",Yes,Yes,Overlapping,Reported,"city indicator, child sex, maternal income-to-poverty ratio at baseline, proportion of salivary immune cells, sample plate from DNA methylation analysis, child age, and the first two principal components of genetic ancestry",Not reported,No,
Maternal smoking,Maternal smoking,Lifestyle and environment,Lifestyle and environment,Blostein et al.,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,204.0,204.0,Pre-established MPS,753.0,995.0,155.0,296.0,598.0,699.0,Population-based,Population-based,Mid childhood,Adolescence,Saliva,Peripheral blood,450K,450K,Mixed,European,,Association DNAm phenotype | P-value | p < 1e-5,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 517),Reported | AUC = 0.67,"Reported | Sensitivity/Specifity/Cohen’s κ/Accuracy/AUC/Brierscore | sensitivity/specicity 91% and 76% internal, 87% and 75% external",Yes,Yes,Overlapping,Reported,"city indicator, child sex, maternal income-to-poverty ratio at baseline, proportion of salivary immune cells, sample plate from DNA methylation analysis, child age, and the first two principal components of genetic ancestry",Not reported,No,
