Identifier_targ,Title,Year,What_is_available,Sample_overlap_target_base,Category_targ,Phenotype_targ,Tissue_targ,Array_targ,Ancestry_targ,Developmental_period_targ,Covariates_targ,MPS_id,Identifier_base,Category_base,Phenotype_base,Tissue_base,Array_base,Ancestry_base,Developmental_period_base,Covariates_base
Sikdar (2019) - Comparison of smoking-related DNA,DNA methylation as a potential mediator of the association between prenatal tobacco and alcohol exposure and child neurodevelopment in a South African birth cohort,2022,EWAS summary statistics,No,Lifestyle and environment,Maternal smoking,Cord blood,"Multiple (450K, EPICv1)",African,Birth,"maternal age, maternal HIV status, maternal depression during pregnancy, maternal psychological distress during pregnancy, parental socioeconomic status (SES), gestational age, and cell-type proportions. Population stratification was adjusted for using the first five genetic principal components. the primary exposure were additionally adjusted for PAE and likewise, models evaluating PAE as the primary exposure were additionally adjusted for PTE. ",Sikdar (2019) - Comparison of smoking-related DNAMaternal smoking,Sikdar (2019) - Comparison of smoking-related DNA,Lifestyle and environment ,Maternal smoking,"Multiple (Cord blood, Whole blood)",450K,Mixed,Birth,"age (continuous), sex and cell-type proportion, batch effects"
Sharp (2018) - Maternal alcohol consumption and offspring,DNA methylation as a potential mediator of the association between prenatal tobacco and alcohol exposure and child neurodevelopment in a South African birth cohort,2022,EWAS summary statistics,No,Lifestyle and environment,Prenatal alcohol exposure,Cord blood,"Multiple (450K, EPICv1)",African,Birth,"maternal age, maternal HIV status, maternal depression during pregnancy, maternal psychological distress during pregnancy, parental socioeconomic status (SES), gestational age, and cell-type proportions. Population stratification was adjusted for using the first five genetic principal components. the primary exposure were additionally adjusted for PAE and likewise, models evaluating PAE as the primary exposure were additionally adjusted for PTE. ",Sharp (2018) - Maternal alcohol consumption and offspringPrenatal alcohol exposure,Sharp (2018) - Maternal alcohol consumption and offspring,Lifestyle and environment ,Prenatal alcohol exposure,Cord blood,450K,European,Birth,"maternal age, maternal education, maternal smoking status, technica covariates, cord blood reference panel"
Ligthart (2016) - DNA methylation signatures of chronic,Inflammation-related epigenetic risk and child and adolescent mental health: A prospective study from pregnancy to middle adolescence,2018,Validated MPS algorithm,No,Biological markers,C-reactive protein,Peripheral blood,450K,European,Adolescence,Not reported,Ligthart (2016) - DNA methylation signatures of chronicC-reactive protein,Ligthart (2016) - DNA methylation signatures of chronic,Biological markers,C-reactive protein,Whole blood,450K,Mixed,Adults,"age, sex, white blood cell proportions, technical covariates (array number and position on array), smoking (current, former and never), and BMI."
Ligthart (2016) - DNA methylation signatures of chronic,Inflammation-related epigenetic risk and child and adolescent mental health: A prospective study from pregnancy to middle adolescence,2018,Validated MPS algorithm,No,Biological markers,C-reactive protein,Cord blood,450K,European,Birth,Not reported,Ligthart (2016) - DNA methylation signatures of chronicC-reactive protein,Ligthart (2016) - DNA methylation signatures of chronic,Biological markers,C-reactive protein,Whole blood,450K,Mixed,Adults,"age, sex, white blood cell proportions, technical covariates (array number and position on array), smoking (current, former and never), and BMI."
Ligthart (2016) - DNA methylation signatures of chronic,Inflammation-related epigenetic risk and child and adolescent mental health: A prospective study from pregnancy to middle adolescence,2018,Validated MPS algorithm,No,Biological markers,C-reactive protein,Peripheral blood,450K,European,Mid childhood,Not reported,Ligthart (2016) - DNA methylation signatures of chronicC-reactive protein,Ligthart (2016) - DNA methylation signatures of chronic,Biological markers,C-reactive protein,Whole blood,450K,Mixed,Adults,"age, sex, white blood cell proportions, technical covariates (array number and position on array), smoking (current, former and never), and BMI."
Reese (2017) - DNA Methylation Score as a,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,2022,Validated MPS algorithm,No,Lifestyle and environment,Maternal smoking,Saliva,450K,Mixed,Adolescence,"city indicator, child sex, maternal income-to-poverty ratio at baseline, proportion of salivary immune cells, sample plate from DNA methylation analysis, child age, and the first two principal components of genetic ancestry",Reese (2017) - DNA Methylation Score as aMaternal smoking,Reese (2017) - DNA Methylation Score as a,Lifestyle and environment,Maternal smoking,Cord blood,450K,European,Birth,"gender, gestational age, maternal education, maternal age, parity, and the selection variable for the data set."
Reese (2017) - DNA Methylation Score as a,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,2022,Validated MPS algorithm,No,Lifestyle and environment,Maternal smoking,Saliva,450K,Mixed,Mid childhood,"city indicator, child sex, maternal income-to-poverty ratio at baseline, proportion of salivary immune cells, sample plate from DNA methylation analysis, child age, and the first two principal components of genetic ancestry",Reese (2017) - DNA Methylation Score as aMaternal smoking,Reese (2017) - DNA Methylation Score as a,Lifestyle and environment,Maternal smoking,Cord blood,450K,European,Birth,"gender, gestational age, maternal education, maternal age, parity, and the selection variable for the data set."
Rauschert (2020) - Machine Learning-Based DNA Methylation,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,2022,Validated MPS algorithm,No,Lifestyle and environment,Maternal smoking,Saliva,450K,Mixed,Adolescence,"city indicator, child sex, maternal income-to-poverty ratio at baseline, proportion of salivary immune cells, sample plate from DNA methylation analysis, child age, and the first two principal components of genetic ancestry",Rauschert (2020) - Machine Learning-Based DNA MethylationMaternal smoking,Rauschert (2020) - Machine Learning-Based DNA Methylation,Lifestyle and environment,Maternal smoking,Peripheral blood,450K,European,Adolescence,Not reported
Rauschert (2020) - Machine Learning-Based DNA Methylation,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,2022,Validated MPS algorithm,No,Lifestyle and environment,Maternal smoking,Saliva,450K,Mixed,Mid childhood,"city indicator, child sex, maternal income-to-poverty ratio at baseline, proportion of salivary immune cells, sample plate from DNA methylation analysis, child age, and the first two principal components of genetic ancestry",Rauschert (2020) - Machine Learning-Based DNA MethylationMaternal smoking,Rauschert (2020) - Machine Learning-Based DNA Methylation,Lifestyle and environment,Maternal smoking,Peripheral blood,450K,European,Adolescence,Not reported
Joubert (2017) - DNA Methylation in Newborns and,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,2022,EWAS summary statistics,No,Lifestyle and environment,Maternal smoking,Saliva,450K,Mixed,Adolescence,"city indicator, child sex, maternal income-to-poverty ratio at baseline, proportion of salivary immune cells, sample plate from DNA methylation analysis, child age, and the first two principal components of genetic ancestry",Joubert (2017) - DNA Methylation in Newborns andMaternal smoking,Joubert (2017) - DNA Methylation in Newborns and,Lifestyle and environment ,Maternal smoking,Cord blood,450K,Mixed,Birth,"maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate"
