Phenotype - targ,Category - targ,Author,Year,Title,DOI,n CpGs - targ,Based on - targ,Sample size - targ,n Cases - targ,n Controls - targ,Sample type - targ,Developmental period - targ,Tissue - targ,Array - targ,Ancestry - targ,Identifier - targ,Publication type,Journal,Keywords,Abstract,Author_list,Date,URL,Including_CpGs_1 - targ,Including_CpGs_2 - targ,Including_CpGs_3 - targ,Including_CpGs_4 - targ,Including_CpGs_5 - targ,Identifier_base - targ,Multiple_identifier_base - targ,Sample_overlap_target_base - targ,Determining_weights_1 - targ,Train_test,Independent_validation,Comparison - targ,Missing_value_note - targ,Reflect_phenotype - targ,Covariates - targ,MPS_id,Identifier - base,Base use,Category - base,Phenotype - base,Link,Tissue - base,Array - base,Ancestry - base,Developmental period - base,Covariates - base,Sample type - base,Based on - base,Identifier_base - base,Multiple_identifier_base - base,Sample_overlap_target_base - base,Including_CpGs_1 - base,Including_CpGs_2 - base,Including_CpGs_3 - base,Including_CpGs_4 - base,Including_CpGs_5 - base,Determining_weights_1 - base,Train_validate,Independent_test,Comparison - base,Missing_value_note - base,Reflect_phenotype - base,n CpGs - base,Sample size - base,n Cases - base,n Controls - base
Prenatal alcohol exposure,Lifestyle and environment,Abrishamcar et al.,2022,DNA methylation as a potential mediator of the association between prenatal tobacco and alcohol exposure and child neurodevelopment in a South African birth cohort,10.1038/s41398-022-02195-3,,EWAS summary statistics,262.0,,,Population-based,Birth,Cord blood,"Multiple (450K, EPICv1)",African,1,Journal Article,Transl Psychiatry,,"Prenatal tobacco exposure (PTE) and prenatal alcohol exposure (PAE) have been associated with an increased risk of delayed neurodevelopment in children as well as differential newborn DNA methylation (DNAm). However, the biological mechanisms connecting PTE and PAE, DNAm, and neurodevelopment are largely unknown. Here we aim to determine whether differential DNAm mediates the association between PTE and PAE and neurodevelopment at 6 (N = 112) and 24 months (N = 184) in children from the South African Drakenstein Child Health Study. PTE and PAE were assessed antenatally using urine cotinine measurements and the ASSIST questionnaire, respectively. Cord blood DNAm was measured using the EPIC and 450 K BeadChips. Neurodevelopment (cognitive, language, motor, adaptive behavior, socioemotional) was measured using the Bayley Scales of Infant and Toddler Development, Third Edition. We constructed methylation risk scores (MRS) for PTE and PAE and conducted causal mediation analysis (CMA) with these MRS as mediators. Next, we conducted a high-dimensional mediation analysis to identify individual CpG sites as potential mediators, followed by a CMA to estimate the average causal mediation effects (ACME) and total effect (TE). PTE and PAE were associated with neurodevelopment at 6 but not at 24 months. PTE MRS reached a prediction accuracy (R2) of 0.23 but did not significantly mediate the association between PTE and neurodevelopment. PAE MRS was not predictive of PAE (R2 = 0.006). For PTE, 31 CpG sites and eight CpG sites were identified as significant mediators (ACME and TE P < 0.05) for the cognitive and motor domains at 6 months, respectively. For PAE, 16 CpG sites and 1 CpG site were significant mediators for the motor and adaptive behavior domains at 6 months, respectively. Several of the associated genes, including MAD1L1, CAMTA1, and ALDH1A2 have been implicated in neurodevelopmental delay, suggesting that differential DNAm may partly explain the biological mechanisms underlying the relationship between PTE and PAE and child neurodevelopment. Copyright © 2022. The Author(s).","['Abrishamcar, S.', 'Chen, J.', 'Feil, D.', 'Kilanowski, A.', 'Koen, N.', 'Vanker, A.', 'Wedderburn, C. J.', 'Donald, K. A.', 'Zar, H. J.', 'Stein, D. J.', 'Huls, A.']",2022-09-30,http://dx.doi.org/10.1038/s41398-022-02195-3,Statistical significance | Multiple p-values | thresholding,Pruning | CoMeBack,,,,Sharp (2018) - Maternal alcohol consumption and offspring,,No,Discovery EWAS | linear regression,No,No,No,Not reported,Reported | Explained variance | R = 0.0006,"maternal age, maternal HIV status, maternal depression during pregnancy, maternal psychological distress during pregnancy, parental socioeconomic status (SES), gestational age, and cell-type proportions. Population stratification was adjusted for using the first five genetic principal components. the primary exposure were additionally adjusted for PAE and likewise, models evaluating PAE as the primary exposure were additionally adjusted for PTE. ",Sharp (2018) - Maternal alcohol consumption and offspringPrenatal alcohol exposure,Sharp (2018) - Maternal alcohol consumption and offspring,Summary statistics,Lifestyle and environment ,Prenatal alcohol exposure,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5753623/,Cord blood,450K,European,Birth,"maternal age, maternal education, maternal smoking status, technica covariates, cord blood reference panel",,,,,,,,,,,,,,,,,,,,
Maternal smoking,Lifestyle and environment,Abrishamcar et al.,2022,DNA methylation as a potential mediator of the association between prenatal tobacco and alcohol exposure and child neurodevelopment in a South African birth cohort,10.1038/s41398-022-02195-3,,EWAS summary statistics,262.0,,,Population-based,Birth,Cord blood,"Multiple (450K, EPICv1)",African,1,Journal Article,Transl Psychiatry,,"Prenatal tobacco exposure (PTE) and prenatal alcohol exposure (PAE) have been associated with an increased risk of delayed neurodevelopment in children as well as differential newborn DNA methylation (DNAm). However, the biological mechanisms connecting PTE and PAE, DNAm, and neurodevelopment are largely unknown. Here we aim to determine whether differential DNAm mediates the association between PTE and PAE and neurodevelopment at 6 (N = 112) and 24 months (N = 184) in children from the South African Drakenstein Child Health Study. PTE and PAE were assessed antenatally using urine cotinine measurements and the ASSIST questionnaire, respectively. Cord blood DNAm was measured using the EPIC and 450 K BeadChips. Neurodevelopment (cognitive, language, motor, adaptive behavior, socioemotional) was measured using the Bayley Scales of Infant and Toddler Development, Third Edition. We constructed methylation risk scores (MRS) for PTE and PAE and conducted causal mediation analysis (CMA) with these MRS as mediators. Next, we conducted a high-dimensional mediation analysis to identify individual CpG sites as potential mediators, followed by a CMA to estimate the average causal mediation effects (ACME) and total effect (TE). PTE and PAE were associated with neurodevelopment at 6 but not at 24 months. PTE MRS reached a prediction accuracy (R2) of 0.23 but did not significantly mediate the association between PTE and neurodevelopment. PAE MRS was not predictive of PAE (R2 = 0.006). For PTE, 31 CpG sites and eight CpG sites were identified as significant mediators (ACME and TE P < 0.05) for the cognitive and motor domains at 6 months, respectively. For PAE, 16 CpG sites and 1 CpG site were significant mediators for the motor and adaptive behavior domains at 6 months, respectively. Several of the associated genes, including MAD1L1, CAMTA1, and ALDH1A2 have been implicated in neurodevelopmental delay, suggesting that differential DNAm may partly explain the biological mechanisms underlying the relationship between PTE and PAE and child neurodevelopment. Copyright © 2022. The Author(s).","['Abrishamcar, S.', 'Chen, J.', 'Feil, D.', 'Kilanowski, A.', 'Koen, N.', 'Vanker, A.', 'Wedderburn, C. J.', 'Donald, K. A.', 'Zar, H. J.', 'Stein, D. J.', 'Huls, A.']",2022-09-30,http://dx.doi.org/10.1038/s41398-022-02195-3,Statistical significance | Multiple p-values | thresholding,Pruning | CoMeBack,,,,Sikdar (2019) - Comparison of smoking-related DNA,,No,Discovery EWAS | linear regression,No,No,No,Not reported,Reported | Explained variance | R2 = 0.23,"maternal age, maternal HIV status, maternal depression during pregnancy, maternal psychological distress during pregnancy, parental socioeconomic status (SES), gestational age, and cell-type proportions. Population stratification was adjusted for using the first five genetic principal components. the primary exposure were additionally adjusted for PAE and likewise, models evaluating PAE as the primary exposure were additionally adjusted for PTE. ",Sikdar (2019) - Comparison of smoking-related DNAMaternal smoking,Sikdar (2019) - Comparison of smoking-related DNA,Summary statistics,Lifestyle and environment ,Maternal smoking,https://pubmed.ncbi.nlm.nih.gov/31536415/,"Multiple (Cord blood, Whole blood)",450K,Mixed,Birth,"age (continuous), sex and cell-type proportion, batch effects",,,,,,,,,,,,,,,,,,,,
C-reactive protein,Biological markers,Barker et al.,2018,Inflammation-related epigenetic risk and child and adolescent mental health: A prospective study from pregnancy to middle adolescence,10.1017/s0954579418000330,7.0,Validated MPS algorithm,785.0,,,Population-based,Adolescence,Peripheral blood,450K,European,17,Journal Article,Dev Psychopathol,,"In 785 mother-child (50% male) pairs from a longitudinal epidemiological birth cohort, we investigated associations between inflammation-related epigenetic polygenic risk scores (i-ePGS), environmental exposures, cognitive function, and child and adolescent internalizing and externalizing problems. We examined prenatal and postnatal effects. For externalizing problems, one prenatal effect was found: i-ePGS at birth associated with higher externalizing problems (ages 7-15) indirectly through lower cognitive function (age 7). For internalizing problems, we identified two effects. For a prenatal effect, i-ePGS at birth associated with higher internalizing symptoms via continuity in i-ePGS at age 7. For a postnatal effect, higher postnatal adversity exposure (birth through age 7) associated with higher internalizing problems (ages 7-15) via higher i-ePGS (age 7). Hence, externalizing problems were related mainly to prenatal effects involving lower cognitive function, whereas internalizing problems appeared related to both prenatal and postnatal effects. The present study supports a link between i-ePGS and child and adolescent mental health.","['Barker, E. D.', 'Cecil, C. A. M.', 'Walton, E.', 'Houtepen, L. C.', ""O'Connor, T. G."", 'Danese, A.', 'Jaffee, S. R.', 'Jensen, S. K. G.', 'Pariante, C.', 'McArdle, W.', 'Gaunt, T. R.', 'Relton, C. L.', 'Roberts, S.']",2018-08-16,http://dx.doi.org/10.1017/s0954579418000330,Statistical significance | Fixed p-value,Pruning | pairwise correlation,,,,Ligthart (2016) - DNA methylation signatures of chronic,,No,Discovery EWAS | linear regression,No,No,No,Not reported,"Reported | correlation |  age 15 r = -0.111, p < 0.002 and age 17 r = -0.181, p < 0.0001",Not reported,Ligthart (2016) - DNA methylation signatures of chronicC-reactive protein,Ligthart (2016) - DNA methylation signatures of chronic,Validated algorithm,Biological markers,C-reactive protein,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1119-5,Whole blood,450K,Mixed,Adults,"age, sex, white blood cell proportions, technical covariates (array number and position on array), smoking (current, former and never), and BMI.",Cohort,Only phenotype,,,,Association DNAm phenotype | top-ranking significant probes | ?,Pruning | R-squared | 0.1,,,,Discovery EWAS | Linear mixed model,No,No,No,Not reported,Reported | Explained variance = 2.3-5.8,8.0,12974.0,,
C-reactive protein,Biological markers,Barker et al.,2018,Inflammation-related epigenetic risk and child and adolescent mental health: A prospective study from pregnancy to middle adolescence,10.1017/s0954579418000330,7.0,Validated MPS algorithm,785.0,,,Population-based,Birth,Cord blood,450K,European,17,Journal Article,Dev Psychopathol,,"In 785 mother-child (50% male) pairs from a longitudinal epidemiological birth cohort, we investigated associations between inflammation-related epigenetic polygenic risk scores (i-ePGS), environmental exposures, cognitive function, and child and adolescent internalizing and externalizing problems. We examined prenatal and postnatal effects. For externalizing problems, one prenatal effect was found: i-ePGS at birth associated with higher externalizing problems (ages 7-15) indirectly through lower cognitive function (age 7). For internalizing problems, we identified two effects. For a prenatal effect, i-ePGS at birth associated with higher internalizing symptoms via continuity in i-ePGS at age 7. For a postnatal effect, higher postnatal adversity exposure (birth through age 7) associated with higher internalizing problems (ages 7-15) via higher i-ePGS (age 7). Hence, externalizing problems were related mainly to prenatal effects involving lower cognitive function, whereas internalizing problems appeared related to both prenatal and postnatal effects. The present study supports a link between i-ePGS and child and adolescent mental health.","['Barker, E. D.', 'Cecil, C. A. M.', 'Walton, E.', 'Houtepen, L. C.', ""O'Connor, T. G."", 'Danese, A.', 'Jaffee, S. R.', 'Jensen, S. K. G.', 'Pariante, C.', 'McArdle, W.', 'Gaunt, T. R.', 'Relton, C. L.', 'Roberts, S.']",2018-08-16,http://dx.doi.org/10.1017/s0954579418000330,Statistical significance | Fixed p-value,Pruning | pairwise correlation,,,,Ligthart (2016) - DNA methylation signatures of chronic,,No,Discovery EWAS | linear regression,No,No,No,Not reported,Not reported,Not reported,Ligthart (2016) - DNA methylation signatures of chronicC-reactive protein,Ligthart (2016) - DNA methylation signatures of chronic,Validated algorithm,Biological markers,C-reactive protein,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1119-5,Whole blood,450K,Mixed,Adults,"age, sex, white blood cell proportions, technical covariates (array number and position on array), smoking (current, former and never), and BMI.",Cohort,Only phenotype,,,,Association DNAm phenotype | top-ranking significant probes | ?,Pruning | R-squared | 0.1,,,,Discovery EWAS | Linear mixed model,No,No,No,Not reported,Reported | Explained variance = 2.3-5.8,8.0,12974.0,,
C-reactive protein,Biological markers,Barker et al.,2018,Inflammation-related epigenetic risk and child and adolescent mental health: A prospective study from pregnancy to middle adolescence,10.1017/s0954579418000330,7.0,Validated MPS algorithm,785.0,,,Population-based,Mid childhood,Peripheral blood,450K,European,17,Journal Article,Dev Psychopathol,,"In 785 mother-child (50% male) pairs from a longitudinal epidemiological birth cohort, we investigated associations between inflammation-related epigenetic polygenic risk scores (i-ePGS), environmental exposures, cognitive function, and child and adolescent internalizing and externalizing problems. We examined prenatal and postnatal effects. For externalizing problems, one prenatal effect was found: i-ePGS at birth associated with higher externalizing problems (ages 7-15) indirectly through lower cognitive function (age 7). For internalizing problems, we identified two effects. For a prenatal effect, i-ePGS at birth associated with higher internalizing symptoms via continuity in i-ePGS at age 7. For a postnatal effect, higher postnatal adversity exposure (birth through age 7) associated with higher internalizing problems (ages 7-15) via higher i-ePGS (age 7). Hence, externalizing problems were related mainly to prenatal effects involving lower cognitive function, whereas internalizing problems appeared related to both prenatal and postnatal effects. The present study supports a link between i-ePGS and child and adolescent mental health.","['Barker, E. D.', 'Cecil, C. A. M.', 'Walton, E.', 'Houtepen, L. C.', ""O'Connor, T. G."", 'Danese, A.', 'Jaffee, S. R.', 'Jensen, S. K. G.', 'Pariante, C.', 'McArdle, W.', 'Gaunt, T. R.', 'Relton, C. L.', 'Roberts, S.']",2018-08-16,http://dx.doi.org/10.1017/s0954579418000330,Statistical significance | Fixed p-value,Pruning | pairwise correlation,,,,Ligthart (2016) - DNA methylation signatures of chronic,,No,Discovery EWAS | linear regression,No,No,No,Not reported,Not reported,Not reported,Ligthart (2016) - DNA methylation signatures of chronicC-reactive protein,Ligthart (2016) - DNA methylation signatures of chronic,Validated algorithm,Biological markers,C-reactive protein,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-016-1119-5,Whole blood,450K,Mixed,Adults,"age, sex, white blood cell proportions, technical covariates (array number and position on array), smoking (current, former and never), and BMI.",Cohort,Only phenotype,,,,Association DNAm phenotype | top-ranking significant probes | ?,Pruning | R-squared | 0.1,,,,Discovery EWAS | Linear mixed model,No,No,No,Not reported,Reported | Explained variance = 2.3-5.8,8.0,12974.0,,
Maternal smoking,Lifestyle and environment,Blostein et al.,2022,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,6073.0,EWAS summary statistics,747.0,143.0,604.0,Population-based,Adolescence,Saliva,450K,Mixed,24,Journal Article,Epigenetics,,"Prenatal maternal smoking is associated with low birthweight, neurological disorders, and asthma in exposed children. DNA methylation signatures can function as biomarkers of prenatal smoke exposure. However, the robustness of DNA methylation signatures across child ages, genetic ancestry groups, or tissues is not clear. Using coefficients from a meta-analysis of prenatal smoke exposure and DNA methylation in newborn cord blood, we created polymethylation scores of saliva DNA methylation from children at ages 9 and 15 in the Fragile Families and Child Wellbeing study. In the full sample at age 9 (n = 753), prenatal smoke exposure was associated with a 0.51 (95%CI: 0.35, 0.66) standard deviation higher polymethylation score. The direction and magnitude of the association was consistent in European and African genetic ancestry samples. In the full sample at age 15 (n = 747), prenatal smoke exposure was associated with a 0.48 (95%CI: 0.32, 0.63) standard deviation higher polymethylation score, and the association was attenuated among the European and Admixed-Latin genetic ancestry samples. The polymethylation score classified prenatal smoke exposure accurately (AUC age 9 = 0.77, age 15 = 0.76). Including the polymethylation score increased the AUC of base model covariates by 5 (95% CI: (2.1, 7.2)) percentage points, while including a single candidate site in the AHRR gene did not (P-value = 0.19). Polymethylation scores for prenatal smoking were portable across genetic ancestries and more accurate than an individual DNA methylation site. Polymethylation scores from saliva samples could serve as robust and practical biomarkers of prenatal smoke exposure.","['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-16,http://dx.doi.org/10.1080/15592294.2022.2112815,Statistical significance | Fixed p-value,,,,,Joubert (2017) - DNA Methylation in Newborns and,,No,Discovery EWAS | linear regression,No,No,Yes,Overlapping,Reported | AUC | AUC = 0.76,"city indicator, child sex, maternal income-to-poverty ratio at baseline, proportion of salivary immune cells, sample plate from DNA methylation analysis, child age, and the first two principal components of genetic ancestry",Joubert (2017) - DNA Methylation in Newborns andMaternal smoking,Joubert (2017) - DNA Methylation in Newborns and,Summary statistics,Lifestyle and environment ,Maternal smoking,https://pubmed.ncbi.nlm.nih.gov/27040690/,Cord blood,450K,Mixed,Birth,"maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate",,,,,,,,,,,,,,,,,,,,
Maternal smoking,Lifestyle and environment,Blostein et al.,2022,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,6073.0,EWAS summary statistics,753.0,155.0,598.0,Population-based,Mid childhood,Saliva,450K,Mixed,24,Journal Article,Epigenetics,,"Prenatal maternal smoking is associated with low birthweight, neurological disorders, and asthma in exposed children. DNA methylation signatures can function as biomarkers of prenatal smoke exposure. However, the robustness of DNA methylation signatures across child ages, genetic ancestry groups, or tissues is not clear. Using coefficients from a meta-analysis of prenatal smoke exposure and DNA methylation in newborn cord blood, we created polymethylation scores of saliva DNA methylation from children at ages 9 and 15 in the Fragile Families and Child Wellbeing study. In the full sample at age 9 (n = 753), prenatal smoke exposure was associated with a 0.51 (95%CI: 0.35, 0.66) standard deviation higher polymethylation score. The direction and magnitude of the association was consistent in European and African genetic ancestry samples. In the full sample at age 15 (n = 747), prenatal smoke exposure was associated with a 0.48 (95%CI: 0.32, 0.63) standard deviation higher polymethylation score, and the association was attenuated among the European and Admixed-Latin genetic ancestry samples. The polymethylation score classified prenatal smoke exposure accurately (AUC age 9 = 0.77, age 15 = 0.76). Including the polymethylation score increased the AUC of base model covariates by 5 (95% CI: (2.1, 7.2)) percentage points, while including a single candidate site in the AHRR gene did not (P-value = 0.19). Polymethylation scores for prenatal smoking were portable across genetic ancestries and more accurate than an individual DNA methylation site. Polymethylation scores from saliva samples could serve as robust and practical biomarkers of prenatal smoke exposure.","['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-16,http://dx.doi.org/10.1080/15592294.2022.2112815,Statistical significance | Fixed p-value,,,,,Joubert (2017) - DNA Methylation in Newborns and,,No,Discovery EWAS | linear regression,No,No,Yes,Overlapping,Reported | AUC | AUC = 0.77,"city indicator, child sex, maternal income-to-poverty ratio at baseline, proportion of salivary immune cells, sample plate from DNA methylation analysis, child age, and the first two principal components of genetic ancestry",Joubert (2017) - DNA Methylation in Newborns andMaternal smoking,Joubert (2017) - DNA Methylation in Newborns and,Summary statistics,Lifestyle and environment ,Maternal smoking,https://pubmed.ncbi.nlm.nih.gov/27040690/,Cord blood,450K,Mixed,Birth,"maternal age, maternal education (or a surrogate socioeconomic metric), parity, and technical covariates such as batch or plate",,,,,,,,,,,,,,,,,,,,
Maternal smoking,Lifestyle and environment,Blostein et al.,2022,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,204.0,Validated MPS algorithm,747.0,143.0,604.0,Population-based,Adolescence,Saliva,450K,Mixed,24,Journal Article,Epigenetics,,"Prenatal maternal smoking is associated with low birthweight, neurological disorders, and asthma in exposed children. DNA methylation signatures can function as biomarkers of prenatal smoke exposure. However, the robustness of DNA methylation signatures across child ages, genetic ancestry groups, or tissues is not clear. Using coefficients from a meta-analysis of prenatal smoke exposure and DNA methylation in newborn cord blood, we created polymethylation scores of saliva DNA methylation from children at ages 9 and 15 in the Fragile Families and Child Wellbeing study. In the full sample at age 9 (n = 753), prenatal smoke exposure was associated with a 0.51 (95%CI: 0.35, 0.66) standard deviation higher polymethylation score. The direction and magnitude of the association was consistent in European and African genetic ancestry samples. In the full sample at age 15 (n = 747), prenatal smoke exposure was associated with a 0.48 (95%CI: 0.32, 0.63) standard deviation higher polymethylation score, and the association was attenuated among the European and Admixed-Latin genetic ancestry samples. The polymethylation score classified prenatal smoke exposure accurately (AUC age 9 = 0.77, age 15 = 0.76). Including the polymethylation score increased the AUC of base model covariates by 5 (95% CI: (2.1, 7.2)) percentage points, while including a single candidate site in the AHRR gene did not (P-value = 0.19). Polymethylation scores for prenatal smoking were portable across genetic ancestries and more accurate than an individual DNA methylation site. Polymethylation scores from saliva samples could serve as robust and practical biomarkers of prenatal smoke exposure.","['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-16,http://dx.doi.org/10.1080/15592294.2022.2112815,,,,,,Rauschert (2020) - Machine Learning-Based DNA Methylation,,No,,No,No,Yes,Overlapping,Reported | AUC | AUC = 0.68,"city indicator, child sex, maternal income-to-poverty ratio at baseline, proportion of salivary immune cells, sample plate from DNA methylation analysis, child age, and the first two principal components of genetic ancestry",Rauschert (2020) - Machine Learning-Based DNA MethylationMaternal smoking,Rauschert (2020) - Machine Learning-Based DNA Methylation,Validated algorithm,Lifestyle and environment,Maternal smoking,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7491641/,Peripheral blood,450K,European,Adolescence,Not reported,Population-based,Only phenotype,,,,Association DNAm phenotype | Fixed p-value | p < .00001,,,,,Penalized regression | Elastic net,80/20 train/test + Cross-validation within training,Yes (n = 517),Yes,Reported,"Reported | Sensitivity/Specifity/Cohen’s κ/Accuracy/AUC/Brierscore | sensitivity/specicity 91% and 76% internal, 87% and 75% external",204.0,995.0,296.0,699.0
Maternal smoking,Lifestyle and environment,Blostein et al.,2022,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,204.0,Validated MPS algorithm,753.0,155.0,598.0,Population-based,Mid childhood,Saliva,450K,Mixed,24,Journal Article,Epigenetics,,"Prenatal maternal smoking is associated with low birthweight, neurological disorders, and asthma in exposed children. DNA methylation signatures can function as biomarkers of prenatal smoke exposure. However, the robustness of DNA methylation signatures across child ages, genetic ancestry groups, or tissues is not clear. Using coefficients from a meta-analysis of prenatal smoke exposure and DNA methylation in newborn cord blood, we created polymethylation scores of saliva DNA methylation from children at ages 9 and 15 in the Fragile Families and Child Wellbeing study. In the full sample at age 9 (n = 753), prenatal smoke exposure was associated with a 0.51 (95%CI: 0.35, 0.66) standard deviation higher polymethylation score. The direction and magnitude of the association was consistent in European and African genetic ancestry samples. In the full sample at age 15 (n = 747), prenatal smoke exposure was associated with a 0.48 (95%CI: 0.32, 0.63) standard deviation higher polymethylation score, and the association was attenuated among the European and Admixed-Latin genetic ancestry samples. The polymethylation score classified prenatal smoke exposure accurately (AUC age 9 = 0.77, age 15 = 0.76). Including the polymethylation score increased the AUC of base model covariates by 5 (95% CI: (2.1, 7.2)) percentage points, while including a single candidate site in the AHRR gene did not (P-value = 0.19). Polymethylation scores for prenatal smoking were portable across genetic ancestries and more accurate than an individual DNA methylation site. Polymethylation scores from saliva samples could serve as robust and practical biomarkers of prenatal smoke exposure.","['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-16,http://dx.doi.org/10.1080/15592294.2022.2112815,,,,,,Rauschert (2020) - Machine Learning-Based DNA Methylation,,No,,No,No,Yes,Overlapping,Reported | AUC | AUC = 0.67,"city indicator, child sex, maternal income-to-poverty ratio at baseline, proportion of salivary immune cells, sample plate from DNA methylation analysis, child age, and the first two principal components of genetic ancestry",Rauschert (2020) - Machine Learning-Based DNA MethylationMaternal smoking,Rauschert (2020) - Machine Learning-Based DNA Methylation,Validated algorithm,Lifestyle and environment,Maternal smoking,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7491641/,Peripheral blood,450K,European,Adolescence,Not reported,Population-based,Only phenotype,,,,Association DNAm phenotype | Fixed p-value | p < .00001,,,,,Penalized regression | Elastic net,80/20 train/test + Cross-validation within training,Yes (n = 517),Yes,Reported,"Reported | Sensitivity/Specifity/Cohen’s κ/Accuracy/AUC/Brierscore | sensitivity/specicity 91% and 76% internal, 87% and 75% external",204.0,995.0,296.0,699.0
Maternal smoking,Lifestyle and environment,Blostein et al.,2022,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,19.0,Validated MPS algorithm,747.0,143.0,604.0,Population-based,Adolescence,Saliva,450K,Mixed,24,Journal Article,Epigenetics,,"Prenatal maternal smoking is associated with low birthweight, neurological disorders, and asthma in exposed children. DNA methylation signatures can function as biomarkers of prenatal smoke exposure. However, the robustness of DNA methylation signatures across child ages, genetic ancestry groups, or tissues is not clear. Using coefficients from a meta-analysis of prenatal smoke exposure and DNA methylation in newborn cord blood, we created polymethylation scores of saliva DNA methylation from children at ages 9 and 15 in the Fragile Families and Child Wellbeing study. In the full sample at age 9 (n = 753), prenatal smoke exposure was associated with a 0.51 (95%CI: 0.35, 0.66) standard deviation higher polymethylation score. The direction and magnitude of the association was consistent in European and African genetic ancestry samples. In the full sample at age 15 (n = 747), prenatal smoke exposure was associated with a 0.48 (95%CI: 0.32, 0.63) standard deviation higher polymethylation score, and the association was attenuated among the European and Admixed-Latin genetic ancestry samples. The polymethylation score classified prenatal smoke exposure accurately (AUC age 9 = 0.77, age 15 = 0.76). Including the polymethylation score increased the AUC of base model covariates by 5 (95% CI: (2.1, 7.2)) percentage points, while including a single candidate site in the AHRR gene did not (P-value = 0.19). Polymethylation scores for prenatal smoking were portable across genetic ancestries and more accurate than an individual DNA methylation site. Polymethylation scores from saliva samples could serve as robust and practical biomarkers of prenatal smoke exposure.","['Blostein, F. A.', 'Fisher, J.', 'Dou, J.', 'Schneper, L.', 'Ware, E. B.', 'Notterman, D. A.', 'Mitchell, C.', 'Bakulski, K. M.']",2022-12-16,http://dx.doi.org/10.1080/15592294.2022.2112815,,,,,,Reese (2017) - DNA Methylation Score as a,,No,,No,No,Yes,Overlapping,Reported | AUC | AUC = 0.64,"city indicator, child sex, maternal income-to-poverty ratio at baseline, proportion of salivary immune cells, sample plate from DNA methylation analysis, child age, and the first two principal components of genetic ancestry",Reese (2017) - DNA Methylation Score as aMaternal smoking,Reese (2017) - DNA Methylation Score as a,Validated algorithm,Lifestyle and environment,Maternal smoking,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5381987/,Cord blood,450K,European,Birth,"gender, gestational age, maternal education, maternal age, parity, and the selection variable for the data set.",Population-based,Only phenotype,,,,Statistical significance | top-ranking significant probes | 200,,,,,Penalized regression | Lasso,80/20 train/test,No,Yes,Not reported,"Reported | Accuracy, sensitivity, specificity | training set (n = 1,057; accuracy = 96%, sensitivity = 80%, specificity = 98%); test set (n = 221, sensitivity = 58%, accuracy = 91%, specificity = 97%) ",28.0,1278.0,168.0,110.0
