Author,Year,Title,DOI,Phenotype,Category,n MPSs,n CpGs,Based on,Sample size,n Cases,n Controls,Sample type,Developmental period,Tissue,Array,Ancestry,Publication type,Journal,Dimension reduction (1),Dimension reduction (2),Dimension reduction (3),Dimension reduction (4),Dimension reduction (5),Weights estimation,Internal validation,External validation,Performance,Comparison,Missing_value_note,Covariates
Z. Awamleh; S. Choufani; W. Wu; D. Rots; A. J. M. Dingemans; N. Nadif Kasri; S. Boronat; S. Ibañez-Mico; L. Cuesta Herraiz; I. Ferrer; A. Martínez Carrascal; L. A. Pérez-Jurado; G. Aznar Lain; J. D. Ortigoza-Escobar; B. B. A. de Vries; D. A. Koolen; R. Weksberg,2024.0,A new blood DNA methylation signature for Koolen-de Vries syndrome: Classification of missense KANSL1 variants and comparison to fibroblast cells,10.1038/s41431-024-01538-6,Koolen de Vreis syndrome (KDVS),Genetic syndromes,1.0,456.0,Raw (individual-level) data,30.0,8.0,22.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Eur J Hum Genet,Association DNAm phenotype | P-value | FDR < .05,Association DNAm phenotype | Actual change in methylation | > 10%,,,,Machine learning | Support vector machine,No,Yes (n = 208),Not reported,No,No,"Age, sex cell-type"
A. A. Appleton,2025.0,A polyepigenetic glucocorticoid exposure score and HPA axis-related DNA methylation are associated with gestational epigenetic aging,,Glucocorticoid ,Lifestyle and environment,1.0,24.0,Pre-established MPS,200.0,,,Cohort study,Birth,Cord blood,EPICv1,Mixed,Journal Article,Epigenetics,,,,,,,No,No,Not assessed,No,Not reported,"All multivariable models were adjusted for maternal age, race/ethnicity (White/non-Hispanic vs. other), and education level (≤ high school vs. > high school), as well as maternal health and behavioral factors including pre-pregnancy BMI, parity (nulliparous vs. not), pregnancy complications (index of conditions such as gestational diabetes and preeclampsia), smoking during pregnancy (yes/no), depressive symptoms (Edinburgh Postnatal Depression Scale score), and dietary patterns (Western diet score). In addition, infant sex was included as a covariate in the full-sample models (but not in sex-stratified analyses). Finally, all models controlled for estimated cell type proportions in umbilical cord blood, including B cells, CD4+ T cells, CD8+ T cells, granulocytes, monocytes, natural killer (NK) cells, and nucleated red blood cells (nRBCs)."
A. Suarez; J. Lahti; M. Lahti-Pulkkinen; P. Girchenko; D. Czamara; J. Arloth; A. L. Malmberg; E. Hamalainen; E. Kajantie; H. Laivuori; P. M. Villa; R. M. Reynolds; N. Provencal; E. B. Binder; K. Raikkonen,2020.0,A polyepigenetic glucocorticoid exposure score at birth and childhood mental and behavioral disorders,2352-2895,Glucocorticoid ,Lifestyle and environment,1.0,24.0,Pre-established MPS,814.0,,,Population-based,Birth,Cord blood,450K,European,Journal Article,Neurobiol Stress,,,,,,,No,No,Not assessed,No,Not reported,"cord blood cell type composition, the first two genetic MDS components, child’s sex, child’s birth year, gestational age at birth, maternal age at delivery (years), maternal smoking during pregnancy (yes/no), maternal education (primary or secondary/tertiary), having any of the cardiometabolic conditions during pregnancy (hypertensive disorders, gestational diabetes mellitus, type 1 diabetes, or pre-pregnancy BMI≥25 kg/m2 ]), and maternal lifetime diagnosis of any mental disorder."
T. Shi; H. Chen; Z. Wang; H. Wang; C. Peng; S. Huang; Y. Wen; X. Pu; Z. Liang; J. Zhong; L. Wang; X. Liang; W. Wei; T. Li; J. Chen; Z. Chen; X. Ma; W. Ruan; J. B. Fan; D. Ding; J. Liu; X. Zhang; Q. Huang,2025.0,A urine DNA methylation assay for early detection of renal cancer,10.1038/s41388-024-03268-x,Renal cancer,Cancer,1.0,5.0,Raw (individual-level) data,253.0,183.0,70.0,Case control,Adolescence,Urine,Nanopore secquencing,Not reported,Journal Article,Oncogene,Association DNAm phenotype | P-value | p < .05,Association DNAm phenotype | Actual change in methylation | > 10%,Biological relevance | Mean methylation | <0.2 in WBC,Biological relevance | Functional annotation | RNA secquencing,Pruning | Feature selection ML,Discovery EWAS | Logistic regression,Train/test split: 50/50%,Yes (n=119),"Reported |AUC | 0.81–0.88 with ~81–83% sensitivity and ~75–77% specificity across modeling, testing, and validation cohorts, and up to 89.5% sensitivity for tumors <2 cm.",No,Reported | CpG sites with coverage less than 50X and/or with missing rate >0.20 were filtered out,Not reported
C. Houdayer; K. Rooney; L. van der Laan; C. Bris; M. Alders; A. Bahr; G. Barcia; C. Battault; A. Begemann; D. Bonneau; A. Bonnevalle; A. Boughalem; A. Bourges; M. Bournez; A. L. Bruel; D. Buhas; F. Carallis; B. Cogné; V. Cormier-Daire; J. Delanne; T. Demaret; A. S. Denommé-Pichon; J. Désir; C. Dubourg; M. Fradin; D. Geneviève; H. Goel; A. Goldenberg; K. W. Gripp; A. Guichet; A. Guimier; A. Jacquinet; B. Keren; L. Legoff; M. A. Levy; H. McConkey; B. A. Mendelsohn; C. Mignot; V. Milon; M. Nizon; B. Oneda; L. Pasquier; O. Patat; C. Philippe; V. Procaccio; R. Procopio; C. Prouteau; T. Rambaud; A. Rauch; R. Relator; S. Rondeau; G. W. E. Santen; J. Schleit; A. Sorlin; K. Steindl; M. Tedder; M. Tessarech; F. T. Mau-Them; D. Trost; P. J. Van der Sluijs; M. Vincent; S. Whalen; C. Thauvin-Robinet; B. Isidor; B. Sadikovic; A. Vitobello; E. Colin,2025.0,ARID2-related disorder: further delineation of the clinical phenotype of 27 novel individuals and description of an epigenetic signature,,ARID2-related disorder,Genetic syndromes,1.0,215.0,Raw (individual-level) data,,14.0,,Case control,Childhood and adolescence,Whole blood,EPICv1,Not reported,Journal Article,Eur J Hum Genet,Association DNAm phenotype | ? ,,,,,Machine learning | Support vector machine,4-fold cross-validation,Yes (n=3),Not reported,No,Not reported,Not reported
I. Lin; Z. Awamleh; A. Wei; B. Russell; R. Weksberg; V. A. Arboleda,2022.0,ASXL1 mutations that cause Bohring Opitz Syndrome (BOS) or acute myeloid leukemia share epigenomic and transcriptomic signatures,10.1101/2022.12.15.519823,Bohrin Opitz Syndrome (BOS),Genetic syndromes,1.0,763.0,Pre-established MPS,40.0,14.0,26.0,Case control,Not reported,Peripheral blood,450K,Not reported,Generic,BMC Medical Genomics,,,,,,,No,No,Not assessed,No,No,Not reported
S. Choufani; V. McNiven; C. Cytrynbaum; M. Jangjoo; M. P. Adam; H. T. Bjornsson; J. Harris; D. A. Dyment; G. E. Graham; M. M. Nezarati; R. B. Aul; C. Castiglioni; J. Breckpot; K. Devriendt; H. Stewart; B. Banos-Pinero; S. Mehta; R. Sandford; C. Dunn; R. Mathevet; L. van Maldergem; J. Piard; E. Brischoux-Boucher; A. Vitobello; L. Faivre; M. Bournez; F. Tran-Mau; I. Maystadt; A. Fernández-Jaén; S. Alvarez; I. D. García-Prieto; F. S. Alkuraya; H. S. Alsaif; Z. Rahbeeni; K. El-Akouri; M. Al-Mureikhi; R. C. Spillmann; V. Shashi; P. A. Sanchez-Lara; J. M. Graham; A. Roberts; O. Chorin; G. D. Evrony; M. Kraatari-Tiri; T. Dudding-Byth; A. Richardson; D. Hunt; L. Hamilton; S. Dyack; B. A. Mendelsohn; N. Rodríguez; R. Sánchez-Martínez; J. Tenorio-Castaño; J. Nevado; P. Lapunzina; P. Tirado; M. T. Carminho Amaro Rodrigues; L. Quteineh; A. M. Innes; A. D. Kline; P. Y. B. Au; R. Weksberg,2022.0,An HNRNPK-specific DNA methylation signature makes sense of missense variants and expands the phenotypic spectrum of Au-Kline syndrome,10.1016/j.ajhg.2022.08.014,Au-Kline syndrome,Genetic syndromes,1.0,429.0,Raw (individual-level) data,25.0,9.0,16.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Am J Hum Genet,Association DNAm phenotype | P-value | FDR < .05,Association DNAm phenotype | Actual change in methylation | > 10%,Pruning | Pairwise correlation | < 0.90,,,Machine learning | Support vector machine,Train/test split: 67/33% | leave-one-out cross-validation,Yes (n = 172),Reported | Specifivity/sensitivity = 100%,No,No,"age, sex cell type"
S. Zarandooz; L. Raffington,2025.0,"Applying blood-derived epigenetic algorithms to saliva: cross-tissue similarity of DNA-methylation indices of aging, physiology, and cognition",10.1186/s13148-025-01868-2,"['Cognitive functioning', 'C-reactive protein', 'BMI']","['Neuro-psychiatric health indicators', 'Biological markers', 'Physical health indicators']",6.0,"[np.float64(764525.0), np.float64(8.0), np.float64(nan)]",Pre-established MPS,107.0,,,Cohort study,Childhood and adolescence,"['Saliva', 'Blood']","Multiple (450K, EPICv1)",Mixed,Journal Article,Clin Epigenetics,,,,,,,,,Not reported,Yes,Not reported,"Cell type, array, batch"
R. Zou; O. D. Boer; J. F. Felix; R. L. Muetzel; I. H. A. Franken; C. A. M. Cecil; H. El Marroun,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,10.1001/jamanetworkopen.2022.24701,Maternal smoking,Lifestyle and environment,4.0,"[np.float64(551.0), np.float64(62.0), np.float64(5643.0), np.float64(405.0)]",Published summary statistics (semi-supervised),784.0,167.0,617.0,Population-based,Birth,Cord blood,450K,European,Journal Article,JAMA netw. open,"['Association DNAm phenotype | P-value | bonferroni < .05', 'Association DNAm phenotype | P-value | FDR < .05']","[nan, 'Biological relevance | Functional annotation | Grouped to genes']",,,,Discovery EWAS | Linear regression,No,No,"['Not reported', 'Reported | Linear regression | b = 0.28, 95% CI 0.21-0.35', 'Reported | Linear regression | b = 0.02, 95% CI 0.02-0.03']",No,Common CpGs,"Child sex and age at neuroimaging were adjusted for in the minimally adjusted model, and maternal age at enrollment, ethnicity, marital status, educational level, psychopathology score, alcohol use during pregnancy, and household income were additionally adjusted for in the fully adjusted model based on the 5% change-in-estimate criterion.24 For subcortical structures, intracranial volume (ICV) was additionally adjusted for in a third model to examine whether any volumetric differences were independent of the  gobal brain size. For mediation analyses using the MRS, we adjusted for child sex and age at neuroimaging, maternal age at enrollment, maternal educational level, cell types, plate number, and genetic principal componentsbatch, cell types, and 4 genetic principal components of ancestry was collected as additional covariates in analyses of MRS."
Y. Sun; T. Jia; E. D. Barker; D. Chen; Z. Zhang; J. Xu; S. Chang; G. Zhou; Y. Liu; N. Tay; Q. Luo; X. Chang; T. Banaschewski; A. L. W. Bokde; H. Flor; A. Grigis; H. Garavan; A. Heinz; J. L. Martinot; M. L. Paillere Martinot; E. Artiges; F. Nees; D. P. Orfanos; T. Paus; L. Poustka; S. Hohmann; S. Millenet; J. H. Frohner; M. N. Smolka; H. Walter; R. Whelan; L. Lu; J. Shi; G. Schumann; S. Desrivieres,2023.0,"Associations of DNA Methylation With Behavioral Problems, Gray Matter Volumes, and Negative Life Events Across Adolescence: Evidence From the Longitudinal IMAGEN Study",1873-2402,"['Externalizing behavior', 'Internalizing behavior']",Neuro-psychiatric health indicators,14.0,"[np.float64(100.0), np.float64(1000.0), np.float64(10000.0), np.float64(20.0), np.float64(50.0), np.float64(500.0), np.float64(5000.0)]",Raw (individual-level) data,506.0,,,Convenience sample,Late childhood,Whole blood,"Multiple (450K, EPICv1)",White,Journal Article,Biol Psychiatry,"['Association DNAm phenotype | P-value | top-ranking 100', 'Association DNAm phenotype | P-value | top-ranking 1000', 'Association DNAm phenotype | P-value | top-ranking 10000', 'Association DNAm phenotype | P-value | top-ranking 20', 'Association DNAm phenotype | P-value | top-ranking 50', 'Association DNAm phenotype | P-value | top-ranking 500', 'Association DNAm phenotype | P-value | top-ranking 5000']",,,,,Discovery EWAS | Linear mixed model,10-fold cross-validation,Yes (n = 823),"['Reported | t-test | t=3.31,p<.001', 'Reported | t-test | t=2.65,p=.004', 'Reported | t-test | t=2.07,p=.019', 'Reported | t-test | t=2.99,p=.001', 'Reported | t-test | t=2.80,p=.003', 'Reported | t-test | t=3.09,p=.001', 'Reported | t-test | t=2.22,p=.013', 'Reported | t-test | t=0.97,p=.17', 'Reported | t-test | t=1.07,p=.14', 'Reported | t-test | t=1.14,p=.13', 'Reported | t-test | t=1.64,p=.05', 'Reported | t-test | t=1.00,p=.16', 'Reported | t-test | t=1.08,p=.14', 'Reported | t-test | t=1.17,p=.12']",Yes,Not reported,"gender, recruitment sites, first 2 components of cell type composition, the first 4 principal components of DNAm, the first 4 multidimensional scaling genetic components, and hybridization waves (to control batch effects)"
