Phenotype,Category,n CpGs,Author,Year,Title,DOI,Based on,Reference,Sample type,Sample size,Developmental period,Tissue,Array,Ancestry,Author_list,Date
Prenatal alcohol exposure,Lifestyle and environment,,Abrishamcar et al.,2022.0,DNA methylation as a potential mediator of the association between prenatal tobacco and alcohol exposure and child neurodevelopment in a South African birth cohort,10.1038/s41398-022-02195-3,Published summary statistics (semi-supervised),[Sharp (2018)](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5753623/),Population-based,262.0,Birth,Cord blood,"Multiple (450K, EPICv1)",African,"['Abrishamcar, S.', 'Chen, J.', 'Feil, D.', 'Kilanowski, A.', 'Koen, N.', 'Vanker, A.', 'Wedderburn, C. J.', 'Donald, K. A.', 'Zar, H. J.', 'Stein, D. J.', 'Huls, A.']",2022-09-30
Maternal smoking,Lifestyle and environment,,Abrishamcar et al.,2022.0,DNA methylation as a potential mediator of the association between prenatal tobacco and alcohol exposure and child neurodevelopment in a South African birth cohort,10.1038/s41398-022-02195-3,Published summary statistics (semi-supervised),[Sikdar (2019)](https://pubmed.ncbi.nlm.nih.gov/31536415/),Population-based,262.0,Birth,Cord blood,"Multiple (450K, EPICv1)",African,"['Abrishamcar, S.', 'Chen, J.', 'Feil, D.', 'Kilanowski, A.', 'Koen, N.', 'Vanker, A.', 'Wedderburn, C. J.', 'Donald, K. A.', 'Zar, H. J.', 'Stein, D. J.', 'Huls, A.']",2022-09-30
SOX11 syndrome,Genetic syndromes,224.0,Al-Jawahiri et al.,2022.0,SOX11 variants cause a neurodevelopmental disorder with infrequent ocular malformations and hypogonadotropic hypogonadism and with distinct DNA methylation profile,10.1016/j.gim.2022.02.013,Raw individual-level data,,Case control,126.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Al-Jawahiri, R.', 'Foroutan, A.', 'Kerkhof, J.', 'McConkey, H.', 'Levy, M.', 'Haghshenas, S.', 'Rooney, K.', 'Turner, J.', 'Shears, D.', 'Holder, M.', 'Lefroy, H.', 'Castle, B.', 'Reis, L. M.', 'Semina, E. V.', 'Nickerson, D.', 'Bamshad, M.', 'Leal, S.', 'Lachlan, K.', 'Chandler, K.', 'Wright, T.', 'Clayton-Smith, J.', 'Hug, F. P.', 'Pitteloud, N.', 'Bartoloni, L.', 'Hoffjan, S.', 'Park, S. M.', 'Thankamony, A.', 'Lees, M.', 'Wakeling, E.', 'Naik, S.', 'Hanker, B.', 'Girisha, K. M.', 'Agolini, E.', 'Giuseppe, Z.', 'Alban, Z.', 'Tessarech, M.', 'Keren, B.', 'Afenjar, A.', 'Zweier, C.', 'Reis, A.', 'Smol, T.', 'Tsurusaki, Y.', 'Nobuhiko, O.', 'Sekiguchi, F.', 'Tsuchida, N.', 'Matsumoto, N.', 'Kou, I.', 'Yonezawa, Y.', 'Ikegawa, S.', 'Callewaert, B.', 'Freeth, M.', 'Ambrose, J. C.', 'Arumugam, P.', 'Bevers, R.', 'Bleda, M.', 'Boardman-Pretty, F.', 'Boustred, C. R.', 'Brittain, H.', 'Caulfield, M. J.', 'Chan, G. C.', 'Elgar, G.', 'Fowler, T.', 'Giess, A.', 'Hamblin, A.', 'Henderson, S.', 'Hubbard, T. J. P.', 'Jackson, R.', 'Jones, L. J.', 'Kasperaviciute, D.', 'Kayikci, M.', 'Kousathanas, A.', 'Lahnstein, L.', 'Leigh, S. E. A.', 'Leong, I. U. S.', 'Lopez, J. F.', 'FionaMaleady, Crowe', 'McEntagart, M.', 'Minneci, F.', 'Moutsianas, L.', 'Mueller, M.', 'Murugaesu, N.', 'Need, A. C.', ""O'Donovan, P."", 'Odhams, C. A.', 'Patch, C.', 'Pereira, M. B.', 'Perez-Gil, D.', 'Pullinger, J.', 'TahrimaRahim', 'Rendon, A.', 'TimRogers', 'Savage, K.', 'Sawant, K.', 'Scott, R. H.', 'Siddiq, A.', 'Sieghart, A.', 'Smith, S. C.', 'Sosinsky, A.', 'Stuckey, A.', 'Tanguy, M.', 'Taylor Tavares, A. L.', 'Thomas, E. R. A.', 'Thompson, S. R.', 'Tucci, A.', 'Welland, M. J.', 'Williams, E.', 'Witkowska, K.', 'Wood, S. M.', 'Kleinendorst, L.', 'Donaldson, A.', 'Alders, M.', 'De Paepe, A.', 'Sadikovic, B.', 'McNeill, A.']",2022-04-05
Rapid weight growth,Lifestyle and environment,140.0,Alfano et al.,2023.0,Cord blood epigenome-wide meta-analysis in six European-based child cohorts identifies signatures linked to rapid weight growth,10.1186/s12916-022-02685-7,Raw individual-level data,,Population-based,2003.0,Birth,Cord blood,"Multiple (450K, EPICv1)",European,"['Alfano, R.', 'Zugna, D.', 'Barros, H.', 'Bustamante, M.', 'Chatzi, L.', 'Ghantous, A.', 'Herceg, Z.', 'Keski-Rahkonen, P.', 'de Kok, T. M.', 'Nawrot, T. S.', 'Relton, C. L.', 'Robinson, O.', 'Roumeliotaki, T.', 'Scalbert, A.', 'Vrijheid, M.', 'Vineis, P.', 'Richiardi, L.', 'Plusquin, M.']",2023-01-17
ADNP-1 syndrome,Genetic syndromes,72.0,Aref-Eshghi et al.,2019.0,Diagnostic Utility of Genome-wide DNA Methylation Testing in Genetically Unsolved Individuals with Suspected Hereditary Conditions,10.1016/j.ajhg.2019.03.008,Raw individual-level data,,Case control,577.0,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Aref-Eshghi, E.', 'Bend, E. G.', 'Colaiacovo, S.', 'Caudle, M.', 'Chakrabarti, R.', 'Napier, M.', 'Brick, L.', 'Brady, L.', 'Carere, D. A.', 'Levy, M. A.', 'Kerkhof, J.', 'Stuart, A.', 'Saleh, M.', 'Beaudet, A. L.', 'Li, C.', 'Kozenko, M.', 'Karp, N.', 'Prasad, C.', 'Siu, V. M.', 'Tarnopolsky, M. A.', 'Ainsworth, P. J.', 'Lin, H.', 'Rodenhiser, D. I.', 'Krantz, I. D.', 'Deardorff, M. A.', 'Schwartz, C. E.', 'Sadikovic, B.']",2019-04-05
ADNP-2 syndrome,Genetic syndromes,72.0,Aref-Eshghi et al.,2019.0,Diagnostic Utility of Genome-wide DNA Methylation Testing in Genetically Unsolved Individuals with Suspected Hereditary Conditions,10.1016/j.ajhg.2019.03.008,Raw individual-level data,,Case control,576.0,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Aref-Eshghi, E.', 'Bend, E. G.', 'Colaiacovo, S.', 'Caudle, M.', 'Chakrabarti, R.', 'Napier, M.', 'Brick, L.', 'Brady, L.', 'Carere, D. A.', 'Levy, M. A.', 'Kerkhof, J.', 'Stuart, A.', 'Saleh, M.', 'Beaudet, A. L.', 'Li, C.', 'Kozenko, M.', 'Karp, N.', 'Prasad, C.', 'Siu, V. M.', 'Tarnopolsky, M. A.', 'Ainsworth, P. J.', 'Lin, H.', 'Rodenhiser, D. I.', 'Krantz, I. D.', 'Deardorff, M. A.', 'Schwartz, C. E.', 'Sadikovic, B.']",2019-04-05
BAFopathy syndrome: no subtype specified,Genetic syndromes,98.0,Aref-Eshghi et al.,2019.0,Diagnostic Utility of Genome-wide DNA Methylation Testing in Genetically Unsolved Individuals with Suspected Hereditary Conditions,10.1016/j.ajhg.2019.03.008,Raw individual-level data,,Case control,597.0,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Aref-Eshghi, E.', 'Bend, E. G.', 'Colaiacovo, S.', 'Caudle, M.', 'Chakrabarti, R.', 'Napier, M.', 'Brick, L.', 'Brady, L.', 'Carere, D. A.', 'Levy, M. A.', 'Kerkhof, J.', 'Stuart, A.', 'Saleh, M.', 'Beaudet, A. L.', 'Li, C.', 'Kozenko, M.', 'Karp, N.', 'Prasad, C.', 'Siu, V. M.', 'Tarnopolsky, M. A.', 'Ainsworth, P. J.', 'Lin, H.', 'Rodenhiser, D. I.', 'Krantz, I. D.', 'Deardorff, M. A.', 'Schwartz, C. E.', 'Sadikovic, B.']",2019-04-05
"Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant (ADCADN)",Genetic syndromes,40.0,Aref-Eshghi et al.,2019.0,Diagnostic Utility of Genome-wide DNA Methylation Testing in Genetically Unsolved Individuals with Suspected Hereditary Conditions,10.1016/j.ajhg.2019.03.008,Raw individual-level data,,Case control,570.0,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Aref-Eshghi, E.', 'Bend, E. G.', 'Colaiacovo, S.', 'Caudle, M.', 'Chakrabarti, R.', 'Napier, M.', 'Brick, L.', 'Brady, L.', 'Carere, D. A.', 'Levy, M. A.', 'Kerkhof, J.', 'Stuart, A.', 'Saleh, M.', 'Beaudet, A. L.', 'Li, C.', 'Kozenko, M.', 'Karp, N.', 'Prasad, C.', 'Siu, V. M.', 'Tarnopolsky, M. A.', 'Ainsworth, P. J.', 'Lin, H.', 'Rodenhiser, D. I.', 'Krantz, I. D.', 'Deardorff, M. A.', 'Schwartz, C. E.', 'Sadikovic, B.']",2019-04-05
CHARGE syndrome,Genetic syndromes,188.0,Aref-Eshghi et al.,2019.0,Diagnostic Utility of Genome-wide DNA Methylation Testing in Genetically Unsolved Individuals with Suspected Hereditary Conditions,10.1016/j.ajhg.2019.03.008,Raw individual-level data,,Case control,655.0,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Aref-Eshghi, E.', 'Bend, E. G.', 'Colaiacovo, S.', 'Caudle, M.', 'Chakrabarti, R.', 'Napier, M.', 'Brick, L.', 'Brady, L.', 'Carere, D. A.', 'Levy, M. A.', 'Kerkhof, J.', 'Stuart, A.', 'Saleh, M.', 'Beaudet, A. L.', 'Li, C.', 'Kozenko, M.', 'Karp, N.', 'Prasad, C.', 'Siu, V. M.', 'Tarnopolsky, M. A.', 'Ainsworth, P. J.', 'Lin, H.', 'Rodenhiser, D. I.', 'Krantz, I. D.', 'Deardorff, M. A.', 'Schwartz, C. E.', 'Sadikovic, B.']",2019-04-05
Claes-Jensen syndrome,Genetic syndromes,59.0,Aref-Eshghi et al.,2019.0,Diagnostic Utility of Genome-wide DNA Methylation Testing in Genetically Unsolved Individuals with Suspected Hereditary Conditions,10.1016/j.ajhg.2019.03.008,Raw individual-level data,,Case control,575.0,Not reported,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,"['Aref-Eshghi, E.', 'Bend, E. G.', 'Colaiacovo, S.', 'Caudle, M.', 'Chakrabarti, R.', 'Napier, M.', 'Brick, L.', 'Brady, L.', 'Carere, D. A.', 'Levy, M. A.', 'Kerkhof, J.', 'Stuart, A.', 'Saleh, M.', 'Beaudet, A. L.', 'Li, C.', 'Kozenko, M.', 'Karp, N.', 'Prasad, C.', 'Siu, V. M.', 'Tarnopolsky, M. A.', 'Ainsworth, P. J.', 'Lin, H.', 'Rodenhiser, D. I.', 'Krantz, I. D.', 'Deardorff, M. A.', 'Schwartz, C. E.', 'Sadikovic, B.']",2019-04-05
