Author,Year,Title,Journal,DOI,n MPSs,Phenotype(s),Category,n CpGs,Based on,Sample type,Sample size,Developmental period,Tissue,Array,Ancestry,Author_list,Date
Awamleh et al.,2024.0,A new blood DNA methylation signature for Koolen-de Vries syndrome: Classification of missense KANSL1 variants and comparison to fibroblast cells,Eur J Hum Genet,10.1038/s41431-024-01538-6,1.0,Koolen de Vreis syndrome (KDVS),Genetic syndromes,456.0,Raw individual-level data,Case control,30.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Awamleh, Z.', 'Choufani, S.', 'Wu, W.', 'Rots, D.', 'Dingemans, A. J. M.', 'Nadif Kasri, N.', 'Boronat, S.', 'Ibañez-Mico, S.', 'Cuesta Herraiz, L.', 'Ferrer, I.', 'Martínez Carrascal, A.', 'Pérez-Jurado, L. A.', 'Aznar Lain, G.', 'Ortigoza-Escobar, J. D.', 'de Vries, B. B. A.', 'Koolen, D. A.', 'Weksberg, R.']",2024-01-31
Appleton,2025.0,A polyepigenetic glucocorticoid exposure score and HPA axis-related DNA methylation are associated with gestational epigenetic aging,Epigenetics,10.1080/15592294.2025.2471129,1.0,Glucocorticoid ,Lifestyle and environment,24.0,Pre-established MPS,Cohort study,200.0,Birth,Cord blood,EPICv1,Mixed,"Appleton, A. A.",2025-12-03
Suarez et al.,2020.0,A polyepigenetic glucocorticoid exposure score at birth and childhood mental and behavioral disorders,Neurobiol Stress,10.1016/j.ynstr.2020.100275,1.0,Glucocorticoid ,Lifestyle and environment,24.0,Pre-established MPS,Population-based,814.0,Birth,Cord blood,450K,European,"['Suarez, A.', 'Lahti, J.', 'Lahti-Pulkkinen, M.', 'Girchenko, P.', 'Czamara, D.', 'Arloth, J.', 'Malmberg, A. L.', 'Hamalainen, E.', 'Kajantie, E.', 'Laivuori, H.', 'Villa, P. M.', 'Reynolds, R. M.', 'Provencal, N.', 'Binder, E. B.', 'Raikkonen, K.']",2020-11-03
Shi et al.,2025.0,A urine DNA methylation assay for early detection of renal cancer,Oncogene,10.1038/s41388-024-03268-x,1.0,Renal cancer,Cancer,5.0,Raw individual-level data,Case control,253.0,Adolescence,Urine,Nanopore sequencing,Not reported,"['Shi, T.', 'Chen, H.', 'Wang, Z.', 'Wang, H.', 'Peng, C.', 'Huang, S.', 'Wen, Y.', 'Pu, X.', 'Liang, Z.', 'Zhong, J.', 'Wang, L.', 'Liang, X.', 'Wei, W.', 'Li, T.', 'Chen, J.', 'Chen, Z.', 'Ma, X.', 'Ruan, W.', 'Fan, J. B.', 'Ding, D.', 'Liu, J.', 'Zhang, X.', 'Huang, Q.']",2025-03-17
Houdayer et al.,2025.0,ARID2-related disorder: further delineation of the clinical phenotype of 27 novel individuals and description of an epigenetic signature,Eur J Hum Genet,10.1038/s41431-025-01798-w,1.0,ARID2-related disorder,Genetic syndromes,215.0,Raw individual-level data,Case control,,Childhood and adolescence,Whole blood,EPICv1,Not reported,"['Houdayer, C.', 'Rooney, K.', 'van der Laan, L.', 'Bris, C.', 'Alders, M.', 'Bahr, A.', 'Barcia, G.', 'Battault, C.', 'Begemann, A.', 'Bonneau, D.', 'Bonnevalle, A.', 'Boughalem, A.', 'Bourges, A.', 'Bournez, M.', 'Bruel, A. L.', 'Buhas, D.', 'Carallis, F.', 'Cogné, B.', 'Cormier-Daire, V.', 'Delanne, J.', 'Demaret, T.', 'Denommé-Pichon, A. S.', 'Désir, J.', 'Dubourg, C.', 'Fradin, M.', 'Geneviève, D.', 'Goel, H.', 'Goldenberg, A.', 'Gripp, K. W.', 'Guichet, A.', 'Guimier, A.', 'Jacquinet, A.', 'Keren, B.', 'Legoff, L.', 'Levy, M. A.', 'McConkey, H.', 'Mendelsohn, B. A.', 'Mignot, C.', 'Milon, V.', 'Nizon, M.', 'Oneda, B.', 'Pasquier, L.', 'Patat, O.', 'Philippe, C.', 'Procaccio, V.', 'Procopio, R.', 'Prouteau, C.', 'Rambaud, T.', 'Rauch, A.', 'Relator, R.', 'Rondeau, S.', 'Santen, G. W. E.', 'Schleit, J.', 'Sorlin, A.', 'Steindl, K.', 'Tedder, M.', 'Tessarech, M.', 'Mau-Them, F. T.', 'Trost, D.', 'Van der Sluijs, P. J.', 'Vincent, M.', 'Whalen, S.', 'Thauvin-Robinet, C.', 'Isidor, B.', 'Sadikovic, B.', 'Vitobello, A.', 'Colin, E.']",2025-03-05
Lin et al.,2024.0,ASXL1 truncating variants in BOS and myeloid leukemia drive shared disruption of Wnt-signaling pathways but have differential isoform usage of RUNX3,BMC Med Genomics,10.1186/s12920-024-02039-7,1.0,Bohrin Opitz Syndrome (BOS),Genetic syndromes,763.0,Pre-established MPS,Case control,40.0,Not reported,Peripheral blood,450K,Not reported,"['Lin, I.', 'Awamleh, Z.', 'Sinvhal, M.', 'Wan, A.', 'Bondhus, L.', 'Wei, A.', 'Russell, B. E.', 'Weksberg, R.', 'Arboleda, V. A.']",2024-11-29
Choufani et al.,2022.0,An HNRNPK-specific DNA methylation signature makes sense of missense variants and expands the phenotypic spectrum of Au-Kline syndrome,Am J Hum Genet,10.1016/j.ajhg.2022.08.014,1.0,Au-Kline syndrome,Genetic syndromes,429.0,Raw individual-level data,Case control,25.0,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Choufani, S.', 'McNiven, V.', 'Cytrynbaum, C.', 'Jangjoo, M.', 'Adam, M. P.', 'Bjornsson, H. T.', 'Harris, J.', 'Dyment, D. A.', 'Graham, G. E.', 'Nezarati, M. M.', 'Aul, R. B.', 'Castiglioni, C.', 'Breckpot, J.', 'Devriendt, K.', 'Stewart, H.', 'Banos-Pinero, B.', 'Mehta, S.', 'Sandford, R.', 'Dunn, C.', 'Mathevet, R.', 'van Maldergem, L.', 'Piard, J.', 'Brischoux-Boucher, E.', 'Vitobello, A.', 'Faivre, L.', 'Bournez, M.', 'Tran-Mau, F.', 'Maystadt, I.', 'Fernández-Jaén, A.', 'Alvarez, S.', 'García-Prieto, I. D.', 'Alkuraya, F. S.', 'Alsaif, H. S.', 'Rahbeeni, Z.', 'El-Akouri, K.', 'Al-Mureikhi, M.', 'Spillmann, R. C.', 'Shashi, V.', 'Sanchez-Lara, P. A.', 'Graham, J. M.', 'Roberts, A.', 'Chorin, O.', 'Evrony, G. D.', 'Kraatari-Tiri, M.', 'Dudding-Byth, T.', 'Richardson, A.', 'Hunt, D.', 'Hamilton, L.', 'Dyack, S.', 'Mendelsohn, B. A.', 'Rodríguez, N.', 'Sánchez-Martínez, R.', 'Tenorio-Castaño, J.', 'Nevado, J.', 'Lapunzina, P.', 'Tirado, P.', 'Carminho Amaro Rodrigues, M. T.', 'Quteineh, L.', 'Innes, A. M.', 'Kline, A. D.', 'Au, P. Y. B.', 'Weksberg, R.']",2022-10-11
Zarandooz et al.,2025.0,"Applying blood-derived epigenetic algorithms to saliva: cross-tissue similarity of DNA-methylation indices of aging, physiology, and cognition",Clin Epigenetics,10.1186/s13148-025-01868-2,6.0,"Multiple (Cognitive functioning, C-reactive protein, BMI)","Multiple (Neuro-psychiatric health indicators, Biological markers, Physical health indicators)","Multiple (764525.0, 8.0, nan)",Pre-established MPS,Cohort study,107.0,Childhood and adolescence,"Multiple (Saliva, Blood)","Multiple (450K, EPICv1)",Mixed,"['Zarandooz, S.', 'Raffington, L.']",2025-04-23
Zou et al.,2022.0,Association of Maternal Tobacco Use During Pregnancy With Preadolescent Brain Morphology Among Offspring,JAMA netw. open,10.1001/jamanetworkopen.2022.24701,4.0,Maternal smoking,Lifestyle and environment,"Multiple (551.0, 62.0, 5643.0, 405.0)",Published summary statistics (semi-supervised),Population-based,784.0,Birth,Cord blood,450K,European,"['Zou, R.', 'Boer, O. D.', 'Felix, J. F.', 'Muetzel, R. L.', 'Franken, I. H. A.', 'Cecil, C. A. M.', 'El Marroun, H.']",2022-08-01
Sun et al.,2023.0,"Associations of DNA Methylation With Behavioral Problems, Gray Matter Volumes, and Negative Life Events Across Adolescence: Evidence From the Longitudinal IMAGEN Study",Biol Psychiatry,10.1016/j.biopsych.2022.06.012,14.0,"Multiple (Externalizing behavior, Internalizing behavior)",Neuro-psychiatric health indicators,"Multiple (100.0, 1000.0, 10000.0, 20.0, 50.0, 500.0, 5000.0)",Raw individual-level data,Convenience sample,506.0,Late childhood,Whole blood,"Multiple (450K, EPICv1)",White,"['Sun, Y.', 'Jia, T.', 'Barker, E. D.', 'Chen, D.', 'Zhang, Z.', 'Xu, J.', 'Chang, S.', 'Zhou, G.', 'Liu, Y.', 'Tay, N.', 'Luo, Q.', 'Chang, X.', 'Banaschewski, T.', 'Bokde, A. L. W.', 'Flor, H.', 'Grigis, A.', 'Garavan, H.', 'Heinz, A.', 'Martinot, J. L.', 'Paillere Martinot, M. L.', 'Artiges, E.', 'Nees, F.', 'Orfanos, D. P.', 'Paus, T.', 'Poustka, L.', 'Hohmann, S.', 'Millenet, S.', 'Frohner, J. H.', 'Smolka, M. N.', 'Walter, H.', 'Whelan, R.', 'Lu, L.', 'Shi, J.', 'Schumann, G.', 'Desrivieres, S.']",2023-02-15
Raffington et al.,2023.0,Associations of DNA-Methylation Measures of Biological Aging With Social Disparities in Child and Adolescent Mental Health,Clin Psychol Sci,10.1177/21677026231186802,2.0,"Multiple (Smoking, C-reactive protein)","Multiple (Lifestyle and environment, Biological markers)","Multiple (nan, 218.0)","Multiple (Published summary statistics (semi-supervised), Pre-established MPS)",Twin study,1183.0,Late childhood,Saliva,EPICv1,Mixed,"['Raffington, L.', 'Tanksley, P. T.', 'Vinnik, L.', 'Sabhlok, A.', 'Patterson, M. W.', 'Mallard, T.', 'Malanchini, M.', 'Ayorech, Z.', 'Tucker-Drob, E. M.', 'Harden, K. P.']",2023-08-03
Sarli et al.,2024.0,Blepharophimosis with intellectual disability and Helsmoortel-Van Der Aa Syndrome share episignature and phenotype,Am J Med Genet Part C Semin Med Genet,10.1002/ajmg.c.32089,1.0,"Blepharophimosis intellectual disability syndrome, ANDP type",Genetic syndromes,239.0,Raw individual-level data,Case control,,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,"['Sarli, C.', 'van der Laan, L.', 'Reilly, J.', 'Trajkova, S.', 'Carli, D.', 'Brusco, A.', 'Levy, M. A.', 'Relator, R.', 'Kerkhof, J.', 'McConkey, H.', 'Tedder, M. L.', 'Skinner, C.', 'Alders, M.', 'Henneman, P.', 'Hennekam, R. C. M.', 'Ciaccio, C.', ""D'Arrigo, S."", 'Vitobello, A.', 'Faivre, L.', 'Weber, S.', 'Vincent-Devulder, A.', 'Perrin, L.', 'Bourgois, A.', 'Yamamoto, T.', 'Metcalfe, K.', 'Zollino, M.', 'Kini, U.', 'Oliveira, D.', 'Sousa, S. B.', 'Williams, D.', 'Cappuccio, G.', 'Sadikovic, B.', 'Brunetti-Pierri, N.']",2024-06-21
