,Identifier,Type,Author,Year,Title,Journal,DOI,Include,Sample_size_quickdirty,Sample size,Sample_type,Developmental period,Category,Phenotype,Tissue,Multiple_tissue,Array,Multiple_array,Selecting_CpGs,Method,"Training, test, validation",Number of CpGs,Effect size phenotype,Coined,Link,Date2,Short Title,Abstract,URL,Date
0,1,Journal Article,S. Abrishamcar; J. Chen; D. Feil; A. Kilanowski; N. Koen; A. Vanker; C. J. Wedderburn; K. A. Donald; H. J. Zar; D. J. Stein; A. Huls,2022,DNA methylation as a potential mediator of the association between prenatal tobacco and alcohol exposure and child neurodevelopment in a South African birth cohort,Transl Psychiatry,10.1038/s41398-022-02195-3,Yes,262.0,262.0,Population-based,Birth,Lifestyle,Prenatal alcohol exposure,Cord blood,,"450K, EPICv1","450K, EPICv1",,"Pruning&thresholding, external summary statistics",,Not reported,,,"http://dx.doi.org/10.1038/s41398-022-02195-3_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=36180424_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med22&DO=10.1038%2fs41398-022-02195-3",2022-09-30,DNA methylation as a potential mediator of the association between prenatal tobacco and alcohol exposure and child neurodevelopment in a South African birth cohort,"Prenatal tobacco exposure (PTE) and prenatal alcohol exposure (PAE) have been associated with an increased risk of delayed neurodevelopment in children as well as differential newborn DNA methylation (DNAm). However, the biological mechanisms connecting PTE and PAE, DNAm, and neurodevelopment are largely unknown. Here we aim to determine whether differential DNAm mediates the association between PTE and PAE and neurodevelopment at 6 (N = 112) and 24 months (N = 184) in children from the South African Drakenstein Child Health Study. PTE and PAE were assessed antenatally using urine cotinine measurements and the ASSIST questionnaire, respectively. Cord blood DNAm was measured using the EPIC and 450 K BeadChips. Neurodevelopment (cognitive, language, motor, adaptive behavior, socioemotional) was measured using the Bayley Scales of Infant and Toddler Development, Third Edition. We constructed methylation risk scores (MRS) for PTE and PAE and conducted causal mediation analysis (CMA) with these MRS as mediators. Next, we conducted a high-dimensional mediation analysis to identify individual CpG sites as potential mediators, followed by a CMA to estimate the average causal mediation effects (ACME) and total effect (TE). PTE and PAE were associated with neurodevelopment at 6 but not at 24 months. PTE MRS reached a prediction accuracy (R2) of 0.23 but did not significantly mediate the association between PTE and neurodevelopment. PAE MRS was not predictive of PAE (R2 = 0.006). For PTE, 31 CpG sites and eight CpG sites were identified as significant mediators (ACME and TE P < 0.05) for the cognitive and motor domains at 6 months, respectively. For PAE, 16 CpG sites and 1 CpG site were significant mediators for the motor and adaptive behavior domains at 6 months, respectively. Several of the associated genes, including MAD1L1, CAMTA1, and ALDH1A2 have been implicated in neurodevelopmental delay, suggesting that differential DNAm may partly explain the biological mechanisms underlying the relationship between PTE and PAE and child neurodevelopment. Copyright © 2022. The Author(s).",http://dx.doi.org/10.1038/s41398-022-02195-3,2022-09-30
1,1,Journal Article,S. Abrishamcar; J. Chen; D. Feil; A. Kilanowski; N. Koen; A. Vanker; C. J. Wedderburn; K. A. Donald; H. J. Zar; D. J. Stein; A. Huls,2022,DNA methylation as a potential mediator of the association between prenatal tobacco and alcohol exposure and child neurodevelopment in a South African birth cohort,Transl Psychiatry,10.1038/s41398-022-02195-3,Yes,262.0,262.0,Population-based,Birth,Lifestyle,Maternal smoking,Cord blood,,"450K, EPICv1","450K, EPICv1",,"Pruning&thresholding, external summary statistics",,Not reported,,,"http://dx.doi.org/10.1038/s41398-022-02195-3_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=36180424_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=med22&DO=10.1038%2fs41398-022-02195-3",2022-09-30,DNA methylation as a potential mediator of the association between prenatal tobacco and alcohol exposure and child neurodevelopment in a South African birth cohort,"Prenatal tobacco exposure (PTE) and prenatal alcohol exposure (PAE) have been associated with an increased risk of delayed neurodevelopment in children as well as differential newborn DNA methylation (DNAm). However, the biological mechanisms connecting PTE and PAE, DNAm, and neurodevelopment are largely unknown. Here we aim to determine whether differential DNAm mediates the association between PTE and PAE and neurodevelopment at 6 (N = 112) and 24 months (N = 184) in children from the South African Drakenstein Child Health Study. PTE and PAE were assessed antenatally using urine cotinine measurements and the ASSIST questionnaire, respectively. Cord blood DNAm was measured using the EPIC and 450 K BeadChips. Neurodevelopment (cognitive, language, motor, adaptive behavior, socioemotional) was measured using the Bayley Scales of Infant and Toddler Development, Third Edition. We constructed methylation risk scores (MRS) for PTE and PAE and conducted causal mediation analysis (CMA) with these MRS as mediators. Next, we conducted a high-dimensional mediation analysis to identify individual CpG sites as potential mediators, followed by a CMA to estimate the average causal mediation effects (ACME) and total effect (TE). PTE and PAE were associated with neurodevelopment at 6 but not at 24 months. PTE MRS reached a prediction accuracy (R2) of 0.23 but did not significantly mediate the association between PTE and neurodevelopment. PAE MRS was not predictive of PAE (R2 = 0.006). For PTE, 31 CpG sites and eight CpG sites were identified as significant mediators (ACME and TE P < 0.05) for the cognitive and motor domains at 6 months, respectively. For PAE, 16 CpG sites and 1 CpG site were significant mediators for the motor and adaptive behavior domains at 6 months, respectively. Several of the associated genes, including MAD1L1, CAMTA1, and ALDH1A2 have been implicated in neurodevelopmental delay, suggesting that differential DNAm may partly explain the biological mechanisms underlying the relationship between PTE and PAE and child neurodevelopment. Copyright © 2022. The Author(s).",http://dx.doi.org/10.1038/s41398-022-02195-3,2022-09-30
2,3,Journal Article,R. Al-Jawahiri; A. Foroutan; J. Kerkhof; H. McConkey; M. Levy; S. Haghshenas; K. Rooney; J. Turner; D. Shears; M. Holder; H. Lefroy; B. Castle; L. M. Reis; E. V. Semina; D. Nickerson; M. Bamshad; S. Leal; K. Lachlan; K. Chandler; T. Wright; J. Clayton-Smith; F. P. Hug; N. Pitteloud; L. Bartoloni; S. Hoffjan; S. M. Park; A. Thankamony; M. Lees; E. Wakeling; S. Naik; B. Hanker; K. M. Girisha; E. Agolini; Z. Giuseppe; Z. Alban; M. Tessarech; B. Keren; A. Afenjar; C. Zweier; A. Reis; T. Smol; Y. Tsurusaki; O. Nobuhiko; F. Sekiguchi; N. Tsuchida; N. Matsumoto; I. Kou; Y. Yonezawa; S. Ikegawa; B. Callewaert; M. Freeth; J. C. Ambrose; P. Arumugam; R. Bevers; M. Bleda; F. Boardman-Pretty; C. R. Boustred; H. Brittain; M. J. Caulfield; G. C. Chan; G. Elgar; T. Fowler; A. Giess; A. Hamblin; S. Henderson; T. J. P. Hubbard; R. Jackson; L. J. Jones; D. Kasperaviciute; M. Kayikci; A. Kousathanas; L. Lahnstein; S. E. A. Leigh; I. U. S. Leong; J. F. Lopez; C. FionaMaleady; M. McEntagart; F. Minneci; L. Moutsianas; M. Mueller; N. Murugaesu; A. C. Need; P. O'Donovan; C. A. Odhams; C. Patch; M. B. Pereira; D. Perez-Gil; J. Pullinger; TahrimaRahim; A. Rendon; TimRogers; K. Savage; K. Sawant; R. H. Scott; A. Siddiq; A. Sieghart; S. C. Smith; A. Sosinsky; A. Stuckey; M. Tanguy; A. L. Taylor Tavares; E. R. A. Thomas; S. R. Thompson; A. Tucci; M. J. Welland; E. Williams; K. Witkowska; S. M. Wood; L. Kleinendorst; A. Donaldson; M. Alders; A. De Paepe; B. Sadikovic; A. McNeill,2022,SOX11 variants cause a neurodevelopmental disorder with infrequent ocular malformations and hypogonadotropic hypogonadism and with distinct DNA methylation profile,Gen Med,10.1016/j.gim.2022.02.013,Yes,38.0,38.0,Randomized controlled trial,Childhood and adolescence,Syndrome,SOX11 syndrome,Peripheral blood,,EPICv1,,,Support vector machine with CpGs,,224,,SOX11 syndrome episignature,"https://www.embase.com/search/results?subaction=viewrecord&id=L2017526567&from=export_x000D_
http://dx.doi.org/10.1016/j.gim.2022.02.013",2022-11-01,SOX11 variants cause a neurodevelopmental disorder with infrequent ocular malformations and hypogonadotropic hypogonadism and with distinct DNA methylation profile,"Purpose: This study aimed to undertake a multidisciplinary characterization of the phenotype associated with SOX11 variants. Methods: Individuals with protein altering variants in SOX11 were identified through exome and genome sequencing and international data sharing. Deep clinical phenotyping was undertaken by referring clinicians. Blood DNA methylation was assessed using Infinium MethylationEPIC array. The expression pattern of SOX11 in developing human brain was defined using RNAscope. Results: We reported 38 new patients with SOX11 variants. Idiopathic hypogonadotropic hypogonadism was confirmed as a feature of SOX11 syndrome. A distinctive pattern of blood DNA methylation was identified in SOX11 syndrome, separating SOX11 syndrome from other BAFopathies. Conclusion: SOX11 syndrome is a distinct clinical entity with characteristic clinical features and episignature differentiating it from BAFopathies.",https://www.embase.com/search/results?subaction=viewrecord&id=L2017526567&from=export,2022-11-01
3,4,Journal Article,R. Alfano; D. Zugna; H. Barros; M. Bustamante; L. Chatzi; A. Ghantous; Z. Herceg; P. Keski-Rahkonen; T. M. de Kok; T. S. Nawrot; C. L. Relton; O. Robinson; T. Roumeliotaki; A. Scalbert; M. Vrijheid; P. Vineis; L. Richiardi; M. Plusquin,2023,Cord blood epigenome-wide meta-analysis in six European-based child cohorts identifies signatures linked to rapid weight growth,BMC Med,10.1186/s12916-022-02685-7,Yes,2003.0,2003.0,Population-based,Birth,Lifestyle,Rapid weight growth,Cord blood,,"450K, EPICv1","450K, EPICv1",,RandomForest with CpGs and CpGs in DMRs,,140,,,"https://www.embase.com/search/results?subaction=viewrecord&id=L2021029713&from=export_x000D_
http://dx.doi.org/10.1186/s12916-022-02685-7",2023-04-06,Cord blood epigenome-wide meta-analysis in six European-based child cohorts identifies signatures linked to rapid weight growth,"Background: Rapid postnatal growth may result from exposure in utero or early life to adverse conditions and has been associated with diseases later in life and, in particular, with childhood obesity. DNA methylation, interfacing early-life exposures and subsequent diseases, is a possible mechanism underlying early-life programming. Methods: Here, a meta-analysis of Illumina HumanMethylation 450K/EPIC-array associations of cord blood DNA methylation at single CpG sites and CpG genomic regions with rapid weight growth at 1 year of age (defined with reference to WHO growth charts) was conducted in six European-based child cohorts (ALSPAC, ENVIRONAGE, Generation XXI, INMA, Piccolipiù, and RHEA, N = 2003). The association of gestational age acceleration (calculated using the Bohlin epigenetic clock) with rapid weight growth was also explored via meta-analysis. Follow-up analyses of identified DNA methylation signals included prediction of rapid weight growth, mediation of the effect of conventional risk factors on rapid weight growth, integration with transcriptomics and metabolomics, association with overweight in childhood (between 4 and 8 years), and comparison with previous findings. Results: Forty-seven CpGs were associated with rapid weight growth at suggestive p-value <1e−05 and, among them, three CpGs (cg14459032, cg25953130 annotated to ARID5B, and cg00049440 annotated to KLF9) passed the genome-wide significance level (p-value <1.25e−07). Sixteen differentially methylated regions (DMRs) were identified as associated with rapid weight growth at false discovery rate (FDR)-adjusted/Siddak p-values < 0.01. Gestational age acceleration was associated with decreasing risk of rapid weight growth (p-value = 9.75e−04). Identified DNA methylation signals slightly increased the prediction of rapid weight growth in addition to conventional risk factors. Among the identified signals, three CpGs partially mediated the effect of gestational age on rapid weight growth. Both CpGs (N=3) and DMRs (N=3) were associated with differential expression of transcripts (N=10 and 7, respectively), including long non-coding RNAs. An AURKC DMR was associated with childhood overweight. We observed enrichment of CpGs previously reported associated with birthweight. Conclusions: Our findings provide evidence of the association between cord blood DNA methylation and rapid weight growth and suggest links with prenatal exposures and association with childhood obesity providing opportunities for early prevention.",https://www.embase.com/search/results?subaction=viewrecord&id=L2021029713&from=export,2023-04-06
4,7,Journal Article,E. Aref-Eshghi; E. G. Bend; S. Colaiacovo; M. Caudle; R. Chakrabarti; M. Napier; L. Brick; L. Brady; D. A. Carere; M. A. Levy; J. Kerkhof; A. Stuart; M. Saleh; A. L. Beaudet; C. Li; M. Kozenko; N. Karp; C. Prasad; V. M. Siu; M. A. Tarnopolsky; P. J. Ainsworth; H. Lin; D. I. Rodenhiser; I. D. Krantz; M. A. Deardorff; C. E. Schwartz; B. Sadikovic,2019,Diagnostic Utility of Genome-wide DNA Methylation Testing in Genetically Unsolved Individuals with Suspected Hereditary Conditions,Am J Hum Genet,10.1016/j.ajhg.2019.03.008,Yes,965.0,965.0,Case control,Not reported,Syndrome,ADNP-1 syndrome,Peripheral blood,,"450K, EPICv1","450K, EPICv1",,Support vector machine with CpGs,,856,,ADNP-1 syndrome episignature,"https://www.embase.com/search/results?subaction=viewrecord&id=L2001761137&from=export_x000D_
http://dx.doi.org/10.1016/j.ajhg.2019.03.008",2019-04-17,Diagnostic Utility of Genome-wide DNA Methylation Testing in Genetically Unsolved Individuals with Suspected Hereditary Conditions,"Conventional genetic testing of individuals with neurodevelopmental presentations and congenital anomalies (ND/CAs), i.e., the analysis of sequence and copy number variants, leaves a substantial proportion of them unexplained. Some of these cases have been shown to result from DNA methylation defects at a single locus (epi-variants), while others can exhibit syndrome-specific DNA methylation changes across multiple loci (epi-signatures). Here, we investigate the clinical diagnostic utility of genome-wide DNA methylation analysis of peripheral blood in unresolved ND/CAs. We generate a computational model enabling concurrent detection of 14 syndromes using DNA methylation data with full accuracy. We demonstrate the ability of this model in resolving 67 individuals with uncertain clinical diagnoses, some of whom had variants of unknown clinical significance (VUS) in the related genes. We show that the provisional diagnoses can be ruled out in many of the case subjects, some of whom are shown by our model to have other diseases initially not considered. By applying this model to a cohort of 965 ND/CA-affected subjects without a previous diagnostic assumption and a separate assessment of rare epi-variants in this cohort, we identify 15 case subjects with syndromic Mendelian disorders, 12 case subjects with imprinting and trinucleotide repeat expansion disorders, as well as 106 case subjects with rare epi-variants, a portion of which involved genes clinically or functionally linked to the subjects’ phenotypes. This study demonstrates that genomic DNA methylation analysis can facilitate the molecular diagnosis of unresolved clinical cases and highlights the potential value of epigenomic testing in the routine clinical assessment of ND/CAs.",https://www.embase.com/search/results?subaction=viewrecord&id=L2001761137&from=export,2019-04-17
5,7,Journal Article,E. Aref-Eshghi; E. G. Bend; S. Colaiacovo; M. Caudle; R. Chakrabarti; M. Napier; L. Brick; L. Brady; D. A. Carere; M. A. Levy; J. Kerkhof; A. Stuart; M. Saleh; A. L. Beaudet; C. Li; M. Kozenko; N. Karp; C. Prasad; V. M. Siu; M. A. Tarnopolsky; P. J. Ainsworth; H. Lin; D. I. Rodenhiser; I. D. Krantz; M. A. Deardorff; C. E. Schwartz; B. Sadikovic,2019,Diagnostic Utility of Genome-wide DNA Methylation Testing in Genetically Unsolved Individuals with Suspected Hereditary Conditions,Am J Hum Genet,10.1016/j.ajhg.2019.03.008,Yes,965.0,965.0,Case control,Not reported,Syndrome,ADNP-2 syndrome,Peripheral blood,,"450K, EPICv1","450K, EPICv1",,Support vector machine with CpGs,,856,,ADNP-2 syndrome episignature,"https://www.embase.com/search/results?subaction=viewrecord&id=L2001761137&from=export_x000D_
http://dx.doi.org/10.1016/j.ajhg.2019.03.008",2019-04-17,Diagnostic Utility of Genome-wide DNA Methylation Testing in Genetically Unsolved Individuals with Suspected Hereditary Conditions,"Conventional genetic testing of individuals with neurodevelopmental presentations and congenital anomalies (ND/CAs), i.e., the analysis of sequence and copy number variants, leaves a substantial proportion of them unexplained. Some of these cases have been shown to result from DNA methylation defects at a single locus (epi-variants), while others can exhibit syndrome-specific DNA methylation changes across multiple loci (epi-signatures). Here, we investigate the clinical diagnostic utility of genome-wide DNA methylation analysis of peripheral blood in unresolved ND/CAs. We generate a computational model enabling concurrent detection of 14 syndromes using DNA methylation data with full accuracy. We demonstrate the ability of this model in resolving 67 individuals with uncertain clinical diagnoses, some of whom had variants of unknown clinical significance (VUS) in the related genes. We show that the provisional diagnoses can be ruled out in many of the case subjects, some of whom are shown by our model to have other diseases initially not considered. By applying this model to a cohort of 965 ND/CA-affected subjects without a previous diagnostic assumption and a separate assessment of rare epi-variants in this cohort, we identify 15 case subjects with syndromic Mendelian disorders, 12 case subjects with imprinting and trinucleotide repeat expansion disorders, as well as 106 case subjects with rare epi-variants, a portion of which involved genes clinically or functionally linked to the subjects’ phenotypes. This study demonstrates that genomic DNA methylation analysis can facilitate the molecular diagnosis of unresolved clinical cases and highlights the potential value of epigenomic testing in the routine clinical assessment of ND/CAs.",https://www.embase.com/search/results?subaction=viewrecord&id=L2001761137&from=export,2019-04-17
6,7,Journal Article,E. Aref-Eshghi; E. G. Bend; S. Colaiacovo; M. Caudle; R. Chakrabarti; M. Napier; L. Brick; L. Brady; D. A. Carere; M. A. Levy; J. Kerkhof; A. Stuart; M. Saleh; A. L. Beaudet; C. Li; M. Kozenko; N. Karp; C. Prasad; V. M. Siu; M. A. Tarnopolsky; P. J. Ainsworth; H. Lin; D. I. Rodenhiser; I. D. Krantz; M. A. Deardorff; C. E. Schwartz; B. Sadikovic,2019,Diagnostic Utility of Genome-wide DNA Methylation Testing in Genetically Unsolved Individuals with Suspected Hereditary Conditions,Am J Hum Genet,10.1016/j.ajhg.2019.03.008,Yes,965.0,965.0,Case control,Not reported,Syndrome,BAFopathy syndrome,Peripheral blood,,"450K, EPICv1","450K, EPICv1",,Support vector machine with CpGs,,856,,BAFopathy syndrome episignature,"https://www.embase.com/search/results?subaction=viewrecord&id=L2001761137&from=export_x000D_
http://dx.doi.org/10.1016/j.ajhg.2019.03.008",2019-04-17,Diagnostic Utility of Genome-wide DNA Methylation Testing in Genetically Unsolved Individuals with Suspected Hereditary Conditions,"Conventional genetic testing of individuals with neurodevelopmental presentations and congenital anomalies (ND/CAs), i.e., the analysis of sequence and copy number variants, leaves a substantial proportion of them unexplained. Some of these cases have been shown to result from DNA methylation defects at a single locus (epi-variants), while others can exhibit syndrome-specific DNA methylation changes across multiple loci (epi-signatures). Here, we investigate the clinical diagnostic utility of genome-wide DNA methylation analysis of peripheral blood in unresolved ND/CAs. We generate a computational model enabling concurrent detection of 14 syndromes using DNA methylation data with full accuracy. We demonstrate the ability of this model in resolving 67 individuals with uncertain clinical diagnoses, some of whom had variants of unknown clinical significance (VUS) in the related genes. We show that the provisional diagnoses can be ruled out in many of the case subjects, some of whom are shown by our model to have other diseases initially not considered. By applying this model to a cohort of 965 ND/CA-affected subjects without a previous diagnostic assumption and a separate assessment of rare epi-variants in this cohort, we identify 15 case subjects with syndromic Mendelian disorders, 12 case subjects with imprinting and trinucleotide repeat expansion disorders, as well as 106 case subjects with rare epi-variants, a portion of which involved genes clinically or functionally linked to the subjects’ phenotypes. This study demonstrates that genomic DNA methylation analysis can facilitate the molecular diagnosis of unresolved clinical cases and highlights the potential value of epigenomic testing in the routine clinical assessment of ND/CAs.",https://www.embase.com/search/results?subaction=viewrecord&id=L2001761137&from=export,2019-04-17
7,7,Journal Article,E. Aref-Eshghi; E. G. Bend; S. Colaiacovo; M. Caudle; R. Chakrabarti; M. Napier; L. Brick; L. Brady; D. A. Carere; M. A. Levy; J. Kerkhof; A. Stuart; M. Saleh; A. L. Beaudet; C. Li; M. Kozenko; N. Karp; C. Prasad; V. M. Siu; M. A. Tarnopolsky; P. J. Ainsworth; H. Lin; D. I. Rodenhiser; I. D. Krantz; M. A. Deardorff; C. E. Schwartz; B. Sadikovic,2019,Diagnostic Utility of Genome-wide DNA Methylation Testing in Genetically Unsolved Individuals with Suspected Hereditary Conditions,Am J Hum Genet,10.1016/j.ajhg.2019.03.008,Yes,965.0,965.0,Case control,Not reported,Syndrome,"Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant (ADCADN)",Peripheral blood,,"450K, EPICv1","450K, EPICv1",,Support vector machine with CpGs,,856,,ADCADN syndrome episignature,"https://www.embase.com/search/results?subaction=viewrecord&id=L2001761137&from=export_x000D_
http://dx.doi.org/10.1016/j.ajhg.2019.03.008",2019-04-17,Diagnostic Utility of Genome-wide DNA Methylation Testing in Genetically Unsolved Individuals with Suspected Hereditary Conditions,"Conventional genetic testing of individuals with neurodevelopmental presentations and congenital anomalies (ND/CAs), i.e., the analysis of sequence and copy number variants, leaves a substantial proportion of them unexplained. Some of these cases have been shown to result from DNA methylation defects at a single locus (epi-variants), while others can exhibit syndrome-specific DNA methylation changes across multiple loci (epi-signatures). Here, we investigate the clinical diagnostic utility of genome-wide DNA methylation analysis of peripheral blood in unresolved ND/CAs. We generate a computational model enabling concurrent detection of 14 syndromes using DNA methylation data with full accuracy. We demonstrate the ability of this model in resolving 67 individuals with uncertain clinical diagnoses, some of whom had variants of unknown clinical significance (VUS) in the related genes. We show that the provisional diagnoses can be ruled out in many of the case subjects, some of whom are shown by our model to have other diseases initially not considered. By applying this model to a cohort of 965 ND/CA-affected subjects without a previous diagnostic assumption and a separate assessment of rare epi-variants in this cohort, we identify 15 case subjects with syndromic Mendelian disorders, 12 case subjects with imprinting and trinucleotide repeat expansion disorders, as well as 106 case subjects with rare epi-variants, a portion of which involved genes clinically or functionally linked to the subjects’ phenotypes. This study demonstrates that genomic DNA methylation analysis can facilitate the molecular diagnosis of unresolved clinical cases and highlights the potential value of epigenomic testing in the routine clinical assessment of ND/CAs.",https://www.embase.com/search/results?subaction=viewrecord&id=L2001761137&from=export,2019-04-17
8,7,Journal Article,E. Aref-Eshghi; E. G. Bend; S. Colaiacovo; M. Caudle; R. Chakrabarti; M. Napier; L. Brick; L. Brady; D. A. Carere; M. A. Levy; J. Kerkhof; A. Stuart; M. Saleh; A. L. Beaudet; C. Li; M. Kozenko; N. Karp; C. Prasad; V. M. Siu; M. A. Tarnopolsky; P. J. Ainsworth; H. Lin; D. I. Rodenhiser; I. D. Krantz; M. A. Deardorff; C. E. Schwartz; B. Sadikovic,2019,Diagnostic Utility of Genome-wide DNA Methylation Testing in Genetically Unsolved Individuals with Suspected Hereditary Conditions,Am J Hum Genet,10.1016/j.ajhg.2019.03.008,Yes,965.0,965.0,Case control,Not reported,Syndrome,CHARGE syndrome,Peripheral blood,,"450K, EPICv1","450K, EPICv1",,Support vector machine with CpGs,,856,,CHARGE syndrome episignature,"https://www.embase.com/search/results?subaction=viewrecord&id=L2001761137&from=export_x000D_
http://dx.doi.org/10.1016/j.ajhg.2019.03.008",2019-04-17,Diagnostic Utility of Genome-wide DNA Methylation Testing in Genetically Unsolved Individuals with Suspected Hereditary Conditions,"Conventional genetic testing of individuals with neurodevelopmental presentations and congenital anomalies (ND/CAs), i.e., the analysis of sequence and copy number variants, leaves a substantial proportion of them unexplained. Some of these cases have been shown to result from DNA methylation defects at a single locus (epi-variants), while others can exhibit syndrome-specific DNA methylation changes across multiple loci (epi-signatures). Here, we investigate the clinical diagnostic utility of genome-wide DNA methylation analysis of peripheral blood in unresolved ND/CAs. We generate a computational model enabling concurrent detection of 14 syndromes using DNA methylation data with full accuracy. We demonstrate the ability of this model in resolving 67 individuals with uncertain clinical diagnoses, some of whom had variants of unknown clinical significance (VUS) in the related genes. We show that the provisional diagnoses can be ruled out in many of the case subjects, some of whom are shown by our model to have other diseases initially not considered. By applying this model to a cohort of 965 ND/CA-affected subjects without a previous diagnostic assumption and a separate assessment of rare epi-variants in this cohort, we identify 15 case subjects with syndromic Mendelian disorders, 12 case subjects with imprinting and trinucleotide repeat expansion disorders, as well as 106 case subjects with rare epi-variants, a portion of which involved genes clinically or functionally linked to the subjects’ phenotypes. This study demonstrates that genomic DNA methylation analysis can facilitate the molecular diagnosis of unresolved clinical cases and highlights the potential value of epigenomic testing in the routine clinical assessment of ND/CAs.",https://www.embase.com/search/results?subaction=viewrecord&id=L2001761137&from=export,2019-04-17
9,7,Journal Article,E. Aref-Eshghi; E. G. Bend; S. Colaiacovo; M. Caudle; R. Chakrabarti; M. Napier; L. Brick; L. Brady; D. A. Carere; M. A. Levy; J. Kerkhof; A. Stuart; M. Saleh; A. L. Beaudet; C. Li; M. Kozenko; N. Karp; C. Prasad; V. M. Siu; M. A. Tarnopolsky; P. J. Ainsworth; H. Lin; D. I. Rodenhiser; I. D. Krantz; M. A. Deardorff; C. E. Schwartz; B. Sadikovic,2019,Diagnostic Utility of Genome-wide DNA Methylation Testing in Genetically Unsolved Individuals with Suspected Hereditary Conditions,Am J Hum Genet,10.1016/j.ajhg.2019.03.008,Yes,965.0,965.0,Case control,Not reported,Syndrome,Claes-Jensen syndrome,Peripheral blood,,"450K, EPICv1","450K, EPICv1",,Support vector machine with CpGs,,856,,Claes Jensen syndrome episignature,"https://www.embase.com/search/results?subaction=viewrecord&id=L2001761137&from=export_x000D_
http://dx.doi.org/10.1016/j.ajhg.2019.03.008",2019-04-17,Diagnostic Utility of Genome-wide DNA Methylation Testing in Genetically Unsolved Individuals with Suspected Hereditary Conditions,"Conventional genetic testing of individuals with neurodevelopmental presentations and congenital anomalies (ND/CAs), i.e., the analysis of sequence and copy number variants, leaves a substantial proportion of them unexplained. Some of these cases have been shown to result from DNA methylation defects at a single locus (epi-variants), while others can exhibit syndrome-specific DNA methylation changes across multiple loci (epi-signatures). Here, we investigate the clinical diagnostic utility of genome-wide DNA methylation analysis of peripheral blood in unresolved ND/CAs. We generate a computational model enabling concurrent detection of 14 syndromes using DNA methylation data with full accuracy. We demonstrate the ability of this model in resolving 67 individuals with uncertain clinical diagnoses, some of whom had variants of unknown clinical significance (VUS) in the related genes. We show that the provisional diagnoses can be ruled out in many of the case subjects, some of whom are shown by our model to have other diseases initially not considered. By applying this model to a cohort of 965 ND/CA-affected subjects without a previous diagnostic assumption and a separate assessment of rare epi-variants in this cohort, we identify 15 case subjects with syndromic Mendelian disorders, 12 case subjects with imprinting and trinucleotide repeat expansion disorders, as well as 106 case subjects with rare epi-variants, a portion of which involved genes clinically or functionally linked to the subjects’ phenotypes. This study demonstrates that genomic DNA methylation analysis can facilitate the molecular diagnosis of unresolved clinical cases and highlights the potential value of epigenomic testing in the routine clinical assessment of ND/CAs.",https://www.embase.com/search/results?subaction=viewrecord&id=L2001761137&from=export,2019-04-17
